,Race_Name,Category,Number_stages
0,Santos Tour Down Under 2012 ,2.WT,6
1,Paris - Nice 2012 ,2.WT,8
2,Tirreno-Adriatico 2012 ,2.WT,7
3,Milano-Sanremo 2012 ,1.WT.A,1
4,Volta Ciclista a Catalunya 2012 ,2.WT,7
5,E3 Prijs Vlaanderen 2012 ,1.WT.B,1
6,Gent - Wevelgem 2012 ,1.WT.B,1
7,Ronde van Vlaanderen / Tour des Flandres 2012 ,1.WT.A,1
8,Vuelta Ciclista al Pais Vasco 2012 ,2.WT,6
9,Paris - Roubaix 2012 ,1.WT.A,1
10,Amstel Gold Race 2012 ,1.WT.B,1
11,La Flèche Wallonne 2012 ,1.WT.B,1
12,Liège - Bastogne - Liège 2012 ,1.WT.A,1
13,Tour de Romandie 2012 ,2.WT,6
14,Giro d'Italia 2012 ,GT.B,21
15,Critérium du Dauphiné 2012 ,2.WT,8
16,Tour de Suisse 2012 ,2.WT,9
17,Tour de France 2012 ,GT.A,21
18,Tour de Pologne 2012 ,1.WT.B,7
19,Eneco Tour 2012 ,2.WT,7
20,Clasica Ciclista San Sebastian 2012 ,1.WT.B,1
21,Vuelta a España 2012 ,GT.B,21
22,Vattenfall Cyclassics 2012 ,1.WT.B,1
23,GP Ouest France - Plouay 2012 ,1.WT.B,1
24,Grand Prix Cycliste de Quebec 2012 ,1.WT.B,1
25,Grand Prix Cycliste de Montréal 2012 ,1.WT.B,1
26,Il Lombardia 2012 ,1.WT.A,1
27,Tour of Beijing 2012 ,2.WT,5
28,UCI TTT World Championships Men 2012 ,Worlds.TTT,1
29,UCI TTT World Championships Women 2012 ,-,1
30,World Championships MJ - ITT 2012 ,J-WC.TT,1
31,World Championships U23 - ITT 2012 ,UCI.WO.u23.TT,1
32,World Championships Road Race Junior Women 2012 ,-,1
33,World Championships WE - ITT 2012 ,F-WC.TT,1
34,World Championships - ITT 2012 ,-,1
35,World Championships Road Race Junior Women 2012 ,-,1
36,World Championships U23 - Road Race 2012 ,Nationals.C1,1
37,World Championships - Road Race 2012 ,Worlds.RR,1
38,World Championships MJ - Road Race 2012 ,J-WC,1
39,National Championships South-Africa - ITT 2012 ,Nationals.C3.TT,1
40,National Championships South Africa - Road Race 2012 ,Nationals.C3,1
41,Tour du Cameroun 2012 ,2.2/U23,8
42,Tour d\'Algérie 2012 ,2.2/U23,5
43,Circuit d\'Alger 2012 ,1.2,1
44,Tour du Maroc 2012 ,2.2/U23,10
45,National Championships Namibia - Road Race 2012 ,Nationals.C3,1
46,National Championships Namibia - ITT 2012 ,Nationals.C3.TT,1
47,Les Challenges Phosphatiers-Challenge Khouribga 2012 ,1.2,1
48,Les Challenges Phosphatiers-Challenge Youssoufia 2012 ,1.2,1
49,Les Challenges Phosphatiers-Challenge Ben Guerir 2012 ,1.2,1
50,La Tropicale Amissa Bongo 2012 ,2.1,6
51,Challenge Du Prince - Trophée Princier 2012 ,1.2,1
52,Challenge du Prince - Trophée de l\'Anniversaire 2012 ,1.2,1
53,Challenge Du Prince - Trophée de la Maison Royale 2012 ,1.2,1
54,Tour of Eritrea 2012 ,2.2/U23,5
55,National Championships Tunisia - ITT 2012 ,Nationals.C3.TT,1
56,Kwita Izina Cycling Tour 2012 ,2.2/U23,3
57,National Championships Burkina Faso - Road Race 2012 ,Nationals.C3,1
58,National Championships Algeria - ITT 2012 ,Nationals.C3.TT,1
59,National Championships Algeria - Road Race 2012 ,Nationals.C3,1
60,National Championships Eritrea - ITT 2012 ,Nationals.C3.TT,1
61,National Championships Morocco - ITT 2012 ,Nationals.C2.TT,1
62,National Championships Eritrea - Road Race 2012 ,Nationals.C3,1
63,National Championships Morocco - Road Race 2012 ,Nationals.C3,1
64,National Championships Tunisia - Road Race 2012 ,Nationals.C3,1
65,National Championships Uganda - Road Race 2012 ,Nationals.C3,1
66,Grand Prix Chantal Biya 2012 ,2.2/U23,4
67,Tour du Faso 2012 ,2.2/U23,10
68,National Championships Rwanda - Road Race 2012 ,Nationals.C3,1
69,African Continental Championships TTT 2012 ,-,1
70,African Continental Championships - ITT 2012 ,UCI.Cont.Ch.TT,1
71,African Continental Championships - Road Race 2012 ,UCI.Cont.Ch,1
72,Tour of Rwanda 2012 ,2.2/U23,9
73,Tour de Langkawi 2012 ,2.HC,10
74,Tour de Taiwan 2012 ,2.1,7
75,Princess Maha Chakri Sirindhorn's Cup Tour of Thailand 2012 ,2.2/U23,6
