,Race_Name,Category,Number_stages
0,Milano-Sanremo 2009 ,1.WT.A,1
1,Amstel Gold Race 2009 ,1.WT.B,1
2,La Flèche Wallonne 2009 ,1.WT.B,1
3,Tour de Romandie 2009 ,2.WT,6
4,Critérium Du Dauphiné Libéré 2009 ,2.WT,8
5,Tour de Suisse 2009 ,2.WT,9
6,National Championships Switserland Itt 2009 ,Nationals.C3.TT,1
7,Clasica Ciclista San Sebastian 2009 ,1.WT.B,1
8,Tour de Pologne 2009 ,1.WT.B,7
9,Giro di Lombardia 2009 ,1.WT.A,1
10,World Championships WE - ITT 2009 ,F-WC.TT,1
11,World Championships - ITT 2009 ,-,1
12,World Championships - Road Race 2009 ,Worlds.RR,1
13,National Championships Namibia - Road Race 2009 ,Nationals.C3,1
14,National Championships South Africa - Road Race 2009 ,Nationals.C3,1
15,National Championships Morocco - Road Race 2009 ,Nationals.C3,1
16,National Championships Tunisia - Road Race 2009 ,Nationals.C3,1
17,National Championships Algeria - ITT 2009 ,Nationals.C3.TT,1
18,National Championships Zimbabwe - Road Race 2009 ,Nationals.C3,1
19,Tour du Faso 2009 ,2.2/U23,10
20,National Championships Namibia - ITT 2009 ,Nationals.C3.TT,1
21,African Continental Championships - ITT 2009 ,UCI.Cont.Ch.TT,1
22,African Cycling Championships - Road Race 2009 ,UCI.Cont.Ch,1
23,Tour of Rwanda 2009 ,2.2/U23,8
24,Tour of Singkarak 2009 ,2.2/U23,5
25,Tour De Kumano 2009 ,2.2/U23,4
26,National Championships Japan - ITT 2009 ,Nationals.C3.TT,1
27,National Championships Israel - ITT 2009 ,Nationals.C3.TT,1
28,National Championships Iran - ITT 2009 ,Nationals.C3.TT,1
29,National Championships Iran - Road Race 2009 ,Nationals.C3,1
30,National Championships Kazakhstan - ITT 2009 ,Nationals.C3.TT,1
31,National Championships Israel - Road Race 2009 ,Nationals.C3,1
32,National Championships Malasia - Road Race 2009 ,Nationals.C3,1
33,National Championships Japan - Road Race 2009 ,Nationals.C3,1
34,National Championships Mongolia - ITT 2009 ,Nationals.C3.TT,1
35,Omloop Het Nieuwsblad 2009 ,1.HC,1
36,Kuurne-Bruxelles-Kuurne 2009 ,1.1,1
37,Vuelta ciclista a la region de Murcia 2009 ,2.1,5
38,Driedaagse van West-Vlaanderen 2009 ,2.1,3
39,Paris-Troyes 2009 ,1.2,1
40,Critérium International 2009 ,2.HC,3
41,Driedaagse De Panne-Koksijde 2009 ,2.HC,4
42,Hel van het Mergelland 2009 ,1.1,1
43,Circuit Cycliste Sarthe - Pays de la Loire 2009 ,2.1,5
44,Presidential Cycling Tour of Turkey 2009 ,2.1,8
45,GP Palio del Recioto 2009 ,1.2,1
46,Tour du Loir-et-Cher 'E. Provost' 2009 ,2.2/U23,6
47,Scheldeprijs 2009 ,1.HC,1
48,Giro del Trentino 2009 ,2.1,4
49,Ronde van Noord-Holland 2009 ,1.2,1
50,Vuelta Asturias Julio Alvarez Mendo 2009 ,2.1,6
51,Eschborn-Frankfurt City Loop 2009 ,1.HC,1
52,Giro Di Toscana 2009 ,1.1,1
53,National Championships Venezuela - Road Race 2009 ,Nationals.C3,1
54,Memorial Oleg Dyachenko 2009 ,1.2,1
55,4 Jours de Dunkerque - Tour du Nord-Pas-de-Calais 2009 ,2.HC,6
56,Five Rings of Moscow 2009 ,2.2/U23,6
57,Circuit De Wallonie 2009 ,1.2,1
58,Omloop der Kempen 2009 ,1.2,1
59, Ronde de l\'Isard 2009 ,2.2/U23,4
60,Grand Prix Criquielion 2009 ,1.2,1
61,Bayern-Rundfahrt 2009 ,2.HC,5
62,Gp Kooperativa 2009 ,1.2,1
63,Boucles de l'Aulne - Châteaulin 2009 ,1.1,1
64,Paris-Roubaix Espoirs 2009 ,1.2,1
65,Rogaland Gp 2009 ,1.2,1
66,GP Industria e Commercio - Tr. Città di San Vendemiano 2009 ,1.2,1
67,Trofeo Alcide Degasperi 2009 ,1.2,1
68,Skoda-Tour de Luxembourg 2009 ,2.HC,5
69,Iurreta-emakumeen Bira 2009 ,F-2.1,5
70,Giro Ciclistico d'Italia 2009 ,2.2/U23,9
71,Ster Elektrotoer 2009 ,2.1,5
72,Route du Sud - la Depêche du Midi 2009 ,2.1,4
73,Tour Des Pays De Savoie 2009 ,2.2/U23,3
74,Flèche Ardennaise 2009 ,1.2,1
75,National Championships Lithuania - ITT 2009 ,Nationals.C3.TT,1
76,National Championships Turkey - ITT 2009 ,Nationals.C3.TT,1
77,National Championships Czech Republic - ITT 2009 ,Nationals.C3.TT,1
78,National Championships Hungary - ITT 2009 ,Nationals.C3.TT,1
79,National Championships Latvia - ITT 2009 ,Nationals.C3.TT,1
80,National Championships Lithuania - Road Race 2009 ,Nationals.C3,1
81,National Championships Luxembourg - ITT 2009 ,Nationals.C3,1
82,National Championships Serbia - ITT 2009 ,Nationals.C3.TT,1
83,National Championships Slovakia - ITT 2009 ,Nationals.C3.TT,1
84,National Championships Slovenia - ITT 2009 ,Nationals.C3.TT,1
85,National Championships Sweden Itt 2009 ,Nationals.C3.TT,1
86,National Championships Ukraine - ITT 2009 ,Nationals.C3.TT,1
87,National TT Championships Portugal 2009 ,Nationals.C3,1
88,National TT Championships Romania 2009 ,Nationals.C3.TT,1
89,National Championships Belarus - ITT 2009 ,Nationals.C3,1
90,National Championships Estonia - ITT 2009 ,Nationals.C3.TT,1
