,Race_Name,Category,Number_stages
0,Milano-Sanremo 2010 ,1.WT.A,1
1,Gent - Wevelgem 2010 ,1.WT.B,1
2,Vuelta Ciclista al Pais Vasco 2010 ,2.WT,6
3,Tour de Romandie 2010 ,2.WT,6
4,Critérium du Dauphiné 2010 ,2.WT,8
5,Tour de Suisse 2010 ,2.WT,9
6,Clasica Ciclista San Sebastian 2010 ,1.WT.B,1
7,Tour de Pologne 2010 ,1.WT.B,7
8,Vuelta a España 2010 ,GT.B,21
9,Grand Prix Cycliste de Montréal 2010 ,1.WT.B,1
10,World Championships MJ - ITT 2010 ,J-WC.TT,1
11,World Championships WE - ITT 2010 ,F-WC.TT,1
12,World Championships - ITT 2010 ,-,1
13,World Championships - Road Race 2010 ,Worlds.RR,1
14,National Championships South Africa - Road Race 2010 ,Nationals.C3,1
15,Tour Of Libya 2010 ,2.2/U23,5
16,National Championships Benin - Road Race 2010 ,Nationals.C3,1
17,National Championships Uganda - Road Race 2010 ,Nationals.C3,1
18,National Championships Morocco - ITT 2010 ,Nationals.C3.TT,1
19,National Championships Tunisia - ITT 2010 ,Nationals.C3.TT,1
20,National Championships Algeria - ITT 2010 ,Nationals.C3.TT,1
21,National Championships Namibia - ITT 2010 ,Nationals.C3.TT,1
22,National Championships Morocco - Road Race 2010 ,Nationals.C3,1
23,National Championships Namibia - Road Race 2010 ,Nationals.C3,1
24,National Championships Tunisia - Road Race 2010 ,Nationals.C3,1
25,National Championships Zimbabwe - Road Race 2010 ,Nationals.C3,1
26,National Championships Algeria - Road Race 2010 ,Nationals.C3,1
27,Tour du Faso 2010 ,2.2/U23,10
28,African Continental Championships - ITT 2010 ,UCI.Cont.Ch.TT,1
29,Tour of Rwanda 2010 ,2.2/U23,9
30,Tour Of Oman 2010 ,2.1,6
31,Asian Cycling Championships - ITT 2010 ,-,1
32,Le Tour de Filipinas 2010 ,2.2/U23,4
33,Tour De Kumano 2010 ,2.2/U23,4
34,National Championships Japan - ITT 2010 ,Nationals.C3.TT,1
35,National Championships Kazakhstan - ITT 2010 ,Nationals.C3.TT,1
36,National Championships Israel - ITT 2010 ,Nationals.C3.TT,1
37,National Championships Iran - ITT 2010 ,Nationals.C3.TT,1
