,Race_Name,Category,Number_stages
0,Tour Down Under 2011 ,2.WT,6
1,Paris - Nice 2011 ,2.WT,8
2,Tirreno-Adriatico 2011 ,2.WT,7
3,Milano-Sanremo 2011 ,1.WT.A,1
4,Volta Ciclista a Catalunya 2011 ,2.WT,7
5,Gent - Wevelgem 2011 ,1.WT.B,1
6,Ronde van Vlaanderen / Tour des Flandres 2011 ,1.WT.A,1
7,Vuelta Ciclista al Pais Vasco 2011 ,2.WT,6
8,Paris - Roubaix 2011 ,1.WT.A,1
9,Amstel Gold Race 2011 ,1.WT.B,1
10,La Flèche Wallonne 2011 ,1.WT.B,1
11,Liège - Bastogne - Liège 2011 ,1.WT.A,1
12,Tour de Romandie 2011 ,2.WT,6
13,Giro d'Italia 2011 ,GT.B,21
14,Critérium du Dauphiné 2011 ,2.WT,8
15,Tour de Suisse 2011 ,2.WT,9
16,Tour de France 2011 ,GT.A,21
17,Clasica Ciclista San Sebastian 2011 ,1.WT.B,1
18,Tour de Pologne 2011 ,1.WT.B,7
19,Eneco Tour 2011 ,2.WT,7
20,Vuelta a España 2011 ,GT.B,21
21,GP Ouest France - Plouay 2011 ,1.WT.B,1
22,Grand Prix Cycliste de Quebec 2011 ,1.WT.B,1
23,Grand Prix Cycliste de Montréal 2011 ,1.WT.B,1
24,Tour of Beijing 2011 ,2.WT,5
25,Il Lombardia 2011 ,1.WT.A,1
26,World Championships MJ - ITT 2011 ,J-WC.TT,1
27,World Championships WE - ITT 2011 ,F-WC.TT,1
28,World Championships - ITT 2011 ,-,1
29,World Championships U23 - Road Race 2011 ,Nationals.C1,1
30,World Championships - Road Race 2011 ,Worlds.RR,1
31,National Championships South-africa Itt 2011 ,Nationals.C3.TT,1
32,National Championships South Africa - Road Race 2011 ,Nationals.C3,1
33,Les Challenges Phosphatiers-Challenge Ben Guerir 2011 ,1.2,1
34,National Championships Eritrea - Road Race 2011 ,Nationals.C3.TT,1
35,National Championships Algeria - ITT 2011 ,Nationals.C3.TT,1
36,National TT Championships Morocco 2011 ,-,1
37,National Championships Algeria - Road Race 2011 ,Nationals.C3,1
