,Race_Name,Category,Number_stages
0,Santos Tour Down Under 2015 ,2.WT,6
1,Paris - Nice 2015 ,2.WT,8
2,Tirreno-Adriatico 2015 ,2.WT,7
3,Milano-Sanremo 2015 ,1.WT.A,1
4,Volta Ciclista a Catalunya 2015 ,2.WT,7
5,E3 Harelbeke 2015 ,1.WT.B,1
6,Gent - Wevelgem 2015 ,1.WT.B,1
7,Ronde van Vlaanderen / Tour des Flandres 2015 ,1.WT.A,1
8,Vuelta Ciclista al Pais Vasco 2015 ,2.WT,6
9,Paris - Roubaix 2015 ,1.WT.A,1
10,Amstel Gold Race 2015 ,1.WT.B,1
11,La Flèche Wallonne 2015 ,1.WT.B,1
12,Liège - Bastogne - Liège 2015 ,1.WT.A,1
13,Tour de Romandie 2015 ,2.WT,6
14,Giro d'Italia 2015 ,GT.B,21
15,Critérium du Dauphiné 2015 ,2.WT,8
16,Tour de Suisse 2015 ,2.WT,9
17,Tour de France 2015 ,GT.A,21
18,Clasica Ciclista San Sebastian 2015 ,1.WT.B,1
19,Tour de Pologne 2015 ,1.WT.B,7
20,Eneco Tour 2015 ,2.WT,7
21,Vuelta a España 2015 ,GT.B,21
22,Vattenfall Cyclassics 2015 ,1.WT.B,1
23,GP Ouest France - Plouay 2015 ,1.WT.B,1
24,Grand Prix Cycliste de Québec 2015 ,1.WT.B,1
25,Grand Prix Cycliste de Montréal 2015 ,1.WT.B,1
26,Il Lombardia 2015 ,1.WT.A,1
27,World Championships - TTT 2015 ,Worlds.TTT,1
28,World Championships - ITT 2015 ,-,1
29,World Championships U23 - Road Race 2015 ,Nationals.C1,1
30,World Championships WE - Road Race 2015 ,F-WC,1
31,Tour of Egypt 2015 ,2.2/U23,5
32,National Championships Namibia - ITT 2015 ,Nationals.C3.TT,1
33,National Championships Namibia - Road Race 2015 ,Nationals.C3,1
34,National Championships South Africa - ITT 2015 ,Nationals.C3.TT,1
35,National Championships South Africa U23 - ITT 2015 ,-,1
36,National Championships South Africa - Road Race 2015 ,Nationals.C3,1
37,African Continental Championships - TTT 2015 ,2.HC.TTT,1
38,African Continental Championships - ITT 2015 ,UCI.Cont.Ch.TT,1
39,African Continental Championships - Road Race 2015 ,UCI.Cont.Ch,1
40,La Tropicale Amissa Bongo 2015 ,2.1,8
41,Les Challenges de la Marche Verte - GP Sakia El Hamra 2015 ,1.2,1
42,Les Challenges de la Marche Verte - GP Oued Eddahab 2015 ,1.2,1
43,Les Challenges de la Marche Verte - GP Al Massira 2015 ,1.2,1
44,Circuit International d\'Alger 2015 ,1.2,1
45,Tour Internationale d\'Oranie 2015 ,2.2/U23,3
46,Grand Prix de la Ville d\'Oran 2015 ,1.2,1
47,Tour International de Blida 2015 ,2.2/U23,3
48,Tour du Cameroun 2015 ,2.2/U23,8
49,Criterium International de Setif 2015 ,1.2,1
50,Tour International de Setif 2015 ,2.2/U23,4
51,Tour Internationale d'Annaba 2015 ,2.2/U23,4
52,Tour International de Constantine 2015 ,2.2/U23,3
53,Circuit International de Constantine 2015 ,1.2,1
54,Criterium International de Blida 2015 ,1.2,1
55,Tour du Maroc 2015 ,2.2/U23,10
56,National Championships Togo - Road Race 2015 ,Nationals.C3,1
57,PMB Road Classic 2015 ,1.2,1
58,Mayday Classic 2015 ,1.2,1
59, Hibiscus Cycle Classic 2015 ,1.2,1
60,Challenge du Prince - Trophée Princier 2015 ,1.2,1
61,Challenge du Prince - Trophée de l'Anniversaire 2015 ,1.2,1
62,Challenge du Prince - Trophée de la Maison Royale 2015 ,1.2,1
63,National championships Algeria - ITT 2015 ,Nationals.C3.TT,1
64,National Championships Morocco - ITT 2015 ,Nationals.C3.TT,1
65,National Championships Tunisia - ITT 2015 ,Nationals.C3.TT,1
66,National Championships Algeria - Road Race 2015 ,Nationals.C3,1
67,National Championships Morocco - Road Race  2015 ,Nationals.C3,1
68,National Championships Tunisia - Road Race 2015 ,Nationals.C3,1
69,National Championships Mauritius - ITT 2015 ,Nationals.C3.TT,1
70,National Championships Eritrea - ITT 2015 ,Nationals.C3.TT,1
71,National Championships Ethiopia - ITT 2015 ,Nationals.C3.TT,1
72,National Championships Ivory Coast - Road Race 2015 ,Nationals.C3,1
73,National Championships Rwanda - ITT 2015 ,Nationals.C3.TT,1
74,National Championships Zimbabwe - Road Race 2015 ,Nationals.C3,1
75,National Championships Ethiopia U23 - ITT 2015 ,-,1
