,Race_Name,Category,Number_stages
0,Santos Tour Down Under 2016 ,2.WT,6
1,Paris - Nice 2016 ,2.WT,8
2,Tirreno - Adriatico 2016 ,2.WT,7
3,Milano - Sanremo 2016 ,1.WT.A,1
4,Volta Ciclista a Catalunya 2016 ,2.WT,7
5,E3 Harelbeke 2016 ,1.WT.B,1
6,Gent - Wevelgem in Flanders Fields 2016 ,1.WT.B,1
7,Ronde van Vlaanderen / Tour des Flandres 2016 ,1.WT.A,1
8,Vuelta Ciclista al Pais Vasco 2016 ,2.WT,6
9,Paris - Roubaix 2016 ,1.WT.A,1
10,Amstel Gold Race 2016 ,1.WT.A,1
11,La Flèche Wallonne 2016 ,1.WT.B,1
12,Liège - Bastogne - Liège 2016 ,1.WT.A,1
13,Tour de Romandie 2016 ,2.WT,6
14,Giro d'Italia 2016 ,GT.B,21
15,Criterium du Dauphiné 2016 ,2.WT,8
16,Tour de Suisse 2016 ,2.WT,9
17,Tour de France 2016 ,GT.A,21
18,Tour de Pologne 2016 ,1.WT.B,7
19,Clasica Ciclista San Sebastian 2016 ,1.WT.B,1
20,Vuelta a España 2016 ,GT.B,21
21,Cyclassics Hamburg 2016 ,1.WT.B,1
22,Bretagne Classic - Ouest-France 2016 ,1.WT.B,1
23,Grand Prix Cycliste de Quebec 2016 ,1.WT.B,1
24,Grand Prix Cycliste de Montréal 2016 ,1.WT.B,1
25,Eneco Tour 2016 ,2.WT,7
26,Il Lombardia 2016 ,1.WT.A,1
27,World Championships - TTT 2016 ,Worlds.TTT,1
28,World Championships WE - TTT 2016 ,F-CDM-TTT,1
29,World Championships U23 - ITT 2016 ,UCI.WO.u23.TT,1
30,World Championships WJ - ITT 2016 ,-,1
31,World Championships MJ - ITT 2016 ,J-WC.TT,1
32,World Championships WE - ITT 2016 ,F-WC.TT,1
33,World Championships U23 - Road Race 2016 ,Nationals.C1,1
34,World Championships MJ - Road Race 2016 ,J-WC,1
35,World Championships WJ - Road Race 2016 ,-,1
36,World Championships WE - Road Race 2016 ,-,1
37,La Tropicale Amissa Bongo 2016 ,2.1,7
38,National Championships Namibia - ITT 2016 ,Nationals.C3.TT,1
39,National Championships Namibia - Road Race 2016 ,Nationals.C3,1
40, National Championships South Africa - ITT 2016 ,Nationals.C3.TT,1
41,National Championships South Africa - Road Race 2016 ,Nationals.C3,1
42,African Continental Championships - ITT 2016 ,UCI.Cont.Ch.TT,1
43,African Continental Championships - Road Race 2016 ,E-CC,1
44,Circuit International d'Alger 2016 ,1.2,1
45,Tour Internationale d'Oranie 2016 ,2.2/U23,3
46,Grand Prix de la Ville d'Oran 2016 ,1.2,1
47,Tour International de Blida 2016 ,2.2/U23,3
48,Tour du Cameroun 2016 ,2.2/U23,8
49,Tour International de Setif 2016 ,2.2/U23,4
50,National Championships Egypt - Road Race 2016 ,-,1
51,Criterium International de Setif 2016 ,1.2,1
52,Tour Internationale d'Annaba 2016 ,2.2/U23,4
53,Tour International de Constantine 2016 ,2.2/U23,3
54,Circuit International de Constantine 2016 ,1.2,1
55,Criterium International de Blida 2016 ,1.2,1
56,Tour du Maroc 2016 ,2.2/U23,10
57,Fenkil Northen Red Sea Challenge 2016 ,1.2,1
58,Massawa Circuit 2016 ,1.2,1
59,Tour Eritrea 2016 ,2.2/U23,5
60,Tour du Sénégal 2016 ,2.2/U23,7
61,Asmara Circuit 2016 ,1.2,1
62,Challenge du Prince - Trophée Princier 2016 ,1.2,1
63,Challenge du Prince - Trophée de l'Anniversaire 2016 ,1.2,1
64,Challenge du Prince - Trophée de la Maison Royale 2016 ,1.2,1
65,Tour de Tunisie 2016 ,2.2/U23,4
66,National Championships Tunisia - ITT 2016 ,Nationals.C3.TT,1
