,Race_Name,Category,Number_stages
0,Santos Tour Down Under 2018 ,2.WT,6
1,Cadel Evans Great Ocean Road Race 2018 ,1.WT.C,1
2,Abu Dhabi Tour 2018 ,2.WT.C,5
3,Omloop Het Nieuwsblad Elite 2018 ,1.WT.C,1
4,Strade Bianche 2018 ,1.WT.C,1
5,Paris - Nice 2018 ,2.WT,8
6,Tirreno-Adriatico 2018 ,2.WT,7
7,Milano-Sanremo 2018 ,1.WT.A,1
8,Volta Ciclista a Catalunya 2018 ,2.WT,7
9,Record Bank E3 Harelbeke 2018 ,1.WT.B,1
10,Gent-Wevelgem in Flanders Fields 2018 ,1.WT.B,1
11,Dwars door Vlaanderen - A travers la Flandre 2018 ,1.WT.C,1
12,Ronde van Vlaanderen - Tour des Flandres 2018 ,1.WT.A,1
13,Itzulia Basque Country 2018 ,2.WT,6
14,Paris-Roubaix 2018 ,1.WT.A,1
15,Amstel Gold Race 2018 ,1.WT.A,1
16,La Flèche Wallonne 2018 ,1.WT.B,1
17,Liège - Bastogne - Liège 2018 ,1.WT.A,1
18,Tour de Romandie 2018 ,2.WT,6
19,Eschborn-Frankfurt 2018 ,1.WT.C,1
20,Giro d'Italia 2018 ,GT.B,21
21,Amgen Tour of California 2018 ,2.WT.C,7
22,Critérium du Dauphiné 2018 ,2.WT,8
23,Tour de Suisse 2018 ,2.WT,9
24,Tour de France 2018 ,GT.A,21
25,Prudential RideLondon-Surrey Classic 2018 ,1.WT.C,1
26,Clasica Ciclista San Sebastian 2018 ,1.WT.B,1
27,Tour de Pologne 2018 ,2.WT,7
28,Binck Bank Tour 2018 ,2.WT,7
29,EuroEyes Cyclassics Hamburg 2018 ,1.WT.B,1
30,La Vuelta ciclista a España 2018 ,GT.B,21
31,Bretagne Classic - Ouest-France 2018 ,1.WT.B,1
32,Grand Prix Cycliste de Québec 2018 ,1.WT.B,1
33,Grand Prix Cycliste de Montréal 2018 ,1.WT.B,1
34,Presidential Cycling Tour of Turkey 2018 ,2.WT.C,6
35,Il Lombardia 2018 ,1.WT.A,1
36,Gree-Tour of Guangxi 2018 ,2.WT.C,6
37,World Championships - TTT 2018 ,Worlds.TTT,1
38,World Championships WE - TTT 2018 ,F-CDM-TTT,1
39,World Championships U23 - ITT 2018 ,UCI.WO.u23.TT,1
40,World Championships WJ - ITT 2018 ,-,1
41,World Championships MJ - ITT 2018 ,J-WC.TT,1
42,World Championships WE - ITT 2018 ,F-WC.TT,1
43,World Championships - ITT 2018 ,Worlds.TT,1
44,World Championships MJ - Road Race 2018 ,J-WC,1
45,World Championships WJ - Road Race 2018 ,-,1
46,World Championships U23 - Road Race 2018 ,Nationals.C1,1
47,World Championships WE - Road Race 2018 ,F-WC,1
48,World Championships - Road Race 2018 ,Worlds.RR,1
49,La Tropicale Amissa Bongo 2018 ,2.1,7
50,Tour International des Zibans 2018 ,2.2/U23,4
51,Coupe des Nations de l'Espoir Blue Line 2018 ,E-2.Ncup,4
52,National Championships Namibia - ITT 2018 ,Nationals.C3.TT,1
53,National Championships Namibia - Road Race 2018 ,Nationals.C3,1
54,National Championships Namibia U23 - Road Race 2018 ,-,1
55,National Championships South Africa - ITT 2018 ,Nationals.C3.TT,1
56,National Championships South Africa U23 - ITT 2018 ,-,1
57,National Championships South Africa - Road Race 2018 ,Nationals.C3,1
58,National Championships South Africa U23 - Road Race 2018 ,-,1
59,African Continental Championships - TTT 2018 ,2.HC.TTT,1
60,African Continental Championships - ITT 2018 ,UCI.Cont.Ch.TT,1
61,African Continental Championships - Road Race 2018 ,E-CC,1
62,Grand Prix International de la ville d'Alger 2018 ,2.2/U23,4
63,Tour Cycliste International de la Pharmacie Centrale de Tunisie 2018 ,2.2/U23,2
64,Grand Prix International de la Pharmacie Centrale de Tunisie 2018 ,1.2,1
65,Tour d'Algérie Cycliste 2018 ,2.2/U23,7
66,Tour du Maroc 2018 ,2.2/U23,10
67,Tour du Sénégal 2018 ,2.2/U23,8
68,Tour de Limpopo 2018 ,2.2/U23,4
69,Tour International de la Wilaya d'Oran 2018 ,2.2/U23,4
70,100 Cycle Challenge 2018 ,1.2,1
71,Tour du Cameroun 2018 ,2.2/U23,8
72,National Championships Mauritius - ITT 2018 ,Nationals.C3.TT,1
73,National Championships Eritrea - ITT 2018 ,Nationals.C3.TT,1
74,National Championships Rwanda - ITT 2018 ,Nationals.C3.TT,1
75,National Championships Eritrea - Road Race 2018 ,Nationals.C3,1
76,National Championships Mauritius - Road Race 2018 ,Nationals.C3,1
77,National Championships Rwanda - Road Race 2018 ,Nationals.C3,1
78,National Championships Ethiopia - ITT 2018 ,Nationals.C3.TT,1
79,National Championships Tunisia - ITT 2018 ,Nationals.C3.TT,1
80,National Championships Morocco - ITT 2018 ,Nationals.C3.TT,1
81,National Championships Angola - Road Race 2018 ,Nationals.C3,1
82,National Championships Morocco - Road Race 2018 ,Nationals.C3,1
83,National Championships Tunisia - Road Race 2018 ,Nationals.C3,1
84,National Championships Algeria - ITT 2018 ,Nationals.C3.TT,1
85,National Championships Algeria - Road Race 2018 ,Nationals.C3,1
86,Tour of Rwanda 2018 ,2.2/U23,8
87,Tour de Côte d'Ivoire-Tour de la Réconciliation 2018 ,2.2/U23,7
88,Grand Prix Chantal Biya 2018 ,2.2/U23,5
89,Tour du Faso 2018 ,2.2/U23,10
90,Africa Cup - TTT 2018 ,1.2,1
91,Africa Cup - ITT 2018 ,1.2,1
92,Africa Cup 2018 ,1.1,1
93,Sharjah Tour 2018 ,2.1,4
94,Tour of Indonesia 2018 ,2.1,4
95,Dubai Tour 2018 ,2.HC,5
96,Asian Cycling Championships - TTT 2018 ,2.HC.TTT,1
97,Asian Cycling Championships U23 - ITT 2018 ,E-CC.TT,1
98,Asian Cycling Championships - ITT 2018 ,UCI.Cont.Ch.TT,1
99,Asian Cycling Championships U23 - Road Race 2018 ,E-CC,1
100,Asian Cycling Championships - Road Race 2018 ,E-CC,1
101,Tour of Oman 2018 ,2.HC,6
102,Tour de Taiwan 2018 ,2.1,5
103,Le Tour de Langkawi 2018 ,2.HC,8
104,Tour de Tochigi 2018 ,2.2/U23,3
105,National Championships United Arab Emirates - Road Race 2018 ,Nationals.C3,1
106,National Championships United Arab Emirates - ITT 2018 ,Nationals.C3.TT,1
107,"The Princess Maha Chackri Sirindhorn's Cup ""Tour of Thailand"" 2018 ",2.1,6
108,Tour De Lombok Mandalika 2018 ,2.2/U23,3
109,Sri Lanka T-Cup 2018 ,2.2/U23,3
110,Tour of Japan 2018 ,2.1,8
111,Le Tour de Filipinas 2018 ,2.2/U23,4
112,Tour de Korea 2018 ,2.1,5
113,Tour de Kumano 2018 ,2.2/U23,4
114,National Championships Japan - ITT 2018 ,Nationals.C3.TT,1
115,National Championships Japan U23 - ITT 2018 ,-,1
116,National Championships Uzbekistan - ITT 2018 ,Nationals.C3.TT,1
117,National Championships Mongolia - ITT 2018 ,Nationals.C3.TT,1
118,National Championships Mongolia U23 - ITT 2018 ,-,1
119,National Championships Uzbekistan - Road Race 2018 ,Nationals.C3,1
120,National Championships South Korea - ITT 2018 ,Nationals.C3.TT,1
121,National Championships Japan U23 - Road Race 2018 ,-,1
122,National Championships Japan - Road Race 2018 ,Nationals.C3,1
123,National Championships South Korea - Road Race 2018 ,Nationals.C3,1
124,National Championships Mongolia - Road Race 2018 ,Nationals.C3,1
125,National Championships Mongolia U23 - Road Race 2018 ,-,1
126,National Championships Kazakhstan - ITT 2018 ,Nationals.C3.TT,1
127,National Championships Iran - Road Race 2018 ,Nationals.C3,1
128,National Championships Kuwait - ITT 2018 ,Nationals.C3.TT,1
129,National Championships Hong Kong - ITT 2018 ,Nationals.C3.TT,1
130,National Championships Iran - ITT 2018 ,Nationals.C3.TT,1
131,National Championships Kuwait - Road Race 2018 ,Nationals.C3,1
132,National Championships Hong Kong - Road Race 2018 ,Nationals.C3,1
133,National Championships Kazakhstan - Road Race 2018 ,Nationals.C3,1
134,National Championships Singapore - ITT 2018 ,Nationals.C3.TT,1
135,National Championships Singapore U23 - ITT 2018 ,-,1
136,National Championships Singapore - Road Race 2018 ,Nationals.C3,1
137,National Championships Singapore U23 - Road Race 2018 ,-,1
138,National Championships Indonesia - ITT 2018 ,Nationals.C3.TT,1
139,National Championships Indonesia - Road Race 2018 ,Nationals.C3,1
140,Tour of Qinghai Lake 2018 ,2.HC,13
141,Summer Asian Games - Road Race 2018 ,E-CC,1
142,Summer Asian Games - ITT 2018 ,-,1
143,Tour of Xingtai 2018 ,2.2/U23,3
144,Tour of China I 2018 ,2.1,7
145,Tour of China II 2018 ,2.1,6
146,Tour de Siak 2018 ,2.2/U23,4
147,International Tour de Banyuwangi Ijen 2018 ,2.2/U23,4
148,Tour of Almaty 2018 ,2.1,2
149,Tour of Iran (Azarbaijan) 2018 ,2.1,6
150,Tour of Taihu Lake 2018 ,2.1,8
151,Hammer Hong Kong 2018  Stage 1 ,-,0
152,Oita Urban Classic 2018 ,1.2,1
153,Japan Cup Cycle Road Race 2018 ,1.HC,1
154,Tour of Hainan 2018 ,2.HC,9
155,Tour de Singkarak 2018 ,2.2/U23,8
156,Tour of Quanzhou Bay 2018 ,2.2/U23,3
157,Tour de Okinawa 2018 ,1.2,1
158,Tour of Fuzhou 2018 ,2.1,5
159,National Championships Qatar - Road Race 2018 ,Nationals.C3,1
160,"Trofeo Campos, Porreres, Felanitx, Ses Salines 2018 ",1.1,1
161,Trofeo Serra de Tramuntana 2018 ,1.1,1
162,Trofeo Lloseta - Andratx 2018 ,1.1,1
163,Grand Prix Cycliste la Marseillaise 2018  ,1.1,1
164,Trofeo Palma 2018 ,1.1,1
165,Etoile de Bessèges 2018 ,2.1,5
166,Volta a la Comunitat Valenciana 2018 ,2.1,5
167,Tour Cycliste International La Provence 2018 ,2.1,4
168,Vuelta Ciclista a la Region de Murcia Costa Calida 2018 ,1.1,1
169,Clasica de Almeria 2018 ,1.HC,1
170,Trofeo Laigueglia 2018 ,1.HC,1
171,Volta ao Algarve em Bicicleta 2018 ,2.HC,5
172,Vuelta a Andalucia Ruta Ciclista Del Sol 2018 ,2.HC,5
173,Tour Cycliste International du Haut Var Matin 2018 ,2.1,2
174,GP Laguna Porec 2018 ,1.2,1
175,Grand Prix Alanya 2018 ,1.2,1
176,Tour of Antalya 2018 ,2.2/U23,4
177,Faun Environnement - Classic de l'Ardèche Rhône Crussol 2018 ,1.1,1
178,Kuurne-Bruxelles-Kuurne 2018 ,1.HC,1
179,Royal Bernard Drome Classic 2018 ,1.1,1
180,GP Izola 2018 ,1.2,1
181,Le Samyn 2018 ,1.1,1
182,Trofej Umag - Umag Trophy 2018 ,1.2,1
183,Tour of Mediterrennean 2018 ,2.2/U23,3
184,Trofej Porec - Porec Trophy 2018 ,1.2,1
185,GP Industria & Artigianato 2018 ,1.HC,1
186,Dwars door West-Vlaanderen / Johan Museeuw Classics 2018 ,1.1,1
187,Grand Prix de la Ville de Lillers Souvenir Bruno Comini 2018 ,1.2,1
188,International Rhodes Grand Prix 2018 ,1.2,1
189,Istarsko Proljece - Istrian Spring Trophy 2018 ,2.2/U23,4
190,International Tour of Rhodes 2018 ,2.2/U23,3
191,Ronde van Drenthe 2018 ,1.HC,1
192,Classica da Arrabida - Cyclin'Portugal 2018 ,1.2,1
193,Grand Prix Side 2018 ,1.2,1
194,Paris-Troyes 2018 ,1.2,1
195,Rabobank Dorpenomloop Rucphen 2018 ,1.2,1
196,Danilith Nokere Koerse 2018 ,1.HC,1
197,Volta ao Alentejo 2018 ,2.2/U23,6
198,Handzame Classic 2018 ,1.HC,1
199,Grand Prix de Denain - Porte du Hainaut 2018 ,1.HC,1
200,Popolarissima 2018 ,1.2,1
201,Tour de Normandie 2018 ,2.2/U23,7
202,Driedaagse Brugge - De Panne 2018 ,1.HC,1
203,Settimana Internazionale Coppi e Bartali 2018 ,2.1,5
204,Tour of Cartier - East Mediterrannean Cycling Prohect 2018 ,2.2/U23,4
205,Classic Loire Atlantique 2018 ,1.1,1
206,Cholet - Pays de la Loire 2018 ,1.1,1
207,Classica Aldeias do Xisto - Cyclin'Portugal 2018 ,1.2,1
208,Tour of Fatih Sultan Mehmet 2018 ,2.2/U23,2
209,Route Adélie de Vitré 2018 ,1.1,1
210,Gran Premio Miguel Indurain 2018 ,1.1,1
211,Volta Limburg Classic 2018 ,1.1,1
212,Le Triptyque des Monts et Chateaux 2018 ,2.2/U23,4
213,Visegrad 4 Bicycle Race- GP Slovakia 2018 ,1.2,1
214,La Roue Tourangelle Région Centre Val de Loire - Trophée Harmonie Mutuelle 2018 ,1.1,1
215,GP Adria Mobil 2018 ,1.2,1
216,Trofeo Piva 2018 ,1.2,1
217,Giro del Belvedere 2018 ,1.2,1
218,Circuit Cycliste Sarthe - Pays de la Loire 2018 ,2.1,4
219,G.P. Palio del Recioto 2018 ,1.2,1
220,Scheldeprijs 2018 ,1.HC,1
221,Circuit des Ardennes International 2018 ,2.2/U23,4
222,Ronde van Vlaanderen Beloften 2018 ,E-1.Ncup,1
223,Trofeo Edil C 2018 ,1.2,1
224,Klasika Primavera de Amorebieta 2018 ,1.1,1
225,Paris-Camembert 2018 ,1.1,1
226,De Brabantse Pijl - La Flèche Brabanconne 2018 ,1.HC,1
227,Tour du Loir et Cher E Provost 2018 ,2.2/U23,5
228,GP Beiras e Serra da Estrela 2018 ,2.1,3
229,Tour du Finistère 2018 ,1.1,1
230,Liège - Bastogne - Liège U23 2018 ,1.2,1
231,ZLM tour 2018 ,E-1.Ncup,1
232,Tro-Bro Léon 2018 ,1.1,1
233,Tour of the Alps 2018 ,2.HC,5
234,Tour of Croatia 2018 ,2.HC,6
235,Tour of Mersin 2018 ,2.2/U23,4
236,Vuelta a Castilla y Leon 2018 ,2.1,3
237,Arno Wallaard Memorial 2018 ,1.2,1
238,Tour du Jura Cycliste 2018 ,2.2/U23,2
239,Visegrad 4 Bicycle Race - GP Czech Republic 2018 ,1.2,1
240,Giro dell'Appennino 2018 ,1.1,1
241,Rutland - Melton Cicle Classic 2018 ,1.2,1
242,Tr. Città di S. Vendemiano - 58th GP Industria & Commercio 2018 ,1.2,1
243,Visegrad 4 Bicycle Race Grand Prix Poland 2018 ,1.2,1
