,Race_Name,Category,Number_stages
0,Santos Tour Down Under 2017 ,2.WT,6
1,Cadel Evans Great Ocean Road Race 2017 ,1.WT.C,1
2,Abu Dhabi Tour 2017 ,2.WT.C,4
3,Omloop Het Nieuwsblad 2017 ,1.WT.C,1
4,Strade Bianche 2017 ,1.WT.C,1
5,Paris - Nice 2017 ,2.WT,8
6,Tirreno-Adriatico 2017 ,2.WT,7
7,Milano-Sanremo 2017 ,1.WT.A,1
8, Volta Ciclista a Catalunya 2017 ,2.WT,7
9,Dwars Door Vlaanderen / A travers la Flandre 2017 ,1.WT.C,1
10,Record Bank E3 Harelbeke 2017 ,1.WT.B,1
11,Gent-Wevelgem in Flanders Fields 2017 ,1.WT.B,1
12,Ronde van Vlaanderen / Tour des Flandres 2017 ,1.WT.A,1
13,Vuelta al Pais Vasco 2017 ,2.WT,6
14,Paris-Roubaix 2017 ,1.WT.A,1
15,Amstel Gold Race 2017 ,1.WT.A,1
16, La Flèche Wallonne 2017 ,1.WT.B,1
17,Liège - Bastogne - Liège 2017 ,1.WT.A,1
18,Tour de Romandie 2017 ,2.WT,6
19,Eschborn-Frankfurt 'Rund um den Finanzplatz' 2017 ,1.WT.C,1
20,Giro d'Italia 2017 ,GT.B,21
21,Amgen Tour of California 2017 ,2.WT.C,7
22,Critérium du Dauphiné 2017 ,2.WT,8
23,Tour de Suisse 2017 ,2.WT,9
24,Tour de France 2017 ,GT.A,21
25,Clásica Ciclista San Sebastian 2017 ,1.WT.B,1
26,Tour de Pologne 2017 ,2.WT,7
27,Prudential RideLondon-Surrey Classic 2017 ,1.WT.C,1
28,BinckBank Tour 2017 ,2.WT,7
29,Vuelta a España 2017 ,GT.B,21
30,Cyclassics Hamburg 2017 ,1.WT.B,1
31,Bretagne Classic - Ouest-France 2017 ,1.WT.B,1
32,Grand Prix Cycliste de Québec 2017 ,1.WT.B,1
33,Grand Prix Cycliste de Montréal 2017 ,1.WT.B,1
34,Il Lombardia 2017 ,1.WT.A,1
35,Presidential Cycling Tour of Turkey 2017 ,2.WT.C,6
36,Gree - Tour of Guangxi 2017 ,2.WT.C,6
37,World Championships - TTT 2017 ,Worlds.TTT,1
38,World Championships U23 - ITT 2017 ,UCI.WO.u23.TT,1
39,World Championships WE - ITT 2017 ,F-WC.TT,1
40,World Championships - ITT 2017 ,-,1
41,World Championships U23 - Road Race 2017 ,Nationals.C1,1
42,World Championships WE - Road Race 2017 ,-,1
43,World Championships - Road Race 2017 ,Worlds.RR,1
44,National Championships Namibia - ITT 2017 ,Nationals.C3.TT,1
45,Les Challenges de la Marche Verte - GP Sakia El Hamra 2017 ,1.2,1
46,National Championships Namibia U23 - ITT 2017 ,-,1
47,National Championships Namibia - Road Race 2017 ,Nationals.C3,1
48,Les Challenges de la Marche Verte - GP Oued Eddahab 2017 ,1.2,1
49,Les Challenges de la Marche Verte - GP Al Massira 2017 ,1.2,1
50,National Championships South Africa - ITT 2017 ,Nationals.C3.TT,1
51,Challenge du Prince - Trophée Princier 2017 ,1.2,1
52,Challenge du Prince - Trophée de l'Anniversaire 2017 ,1.2,1
53,National Championships South Africa - Road Race 2017 ,Nationals.C3,1
54,Challenge du Prince - Trophée de la Maison Royale 2017 ,1.2,1
55,African Continental Championships - TTT 2017 ,Worlds.TTT,1
56,African Continental Championships - ITT 2017 ,UCI.Cont.Ch.TT,1
57,African Continental Championships - Road Race 2017 ,E-CC,1
58,La Tropicale Amissa Bongo 2017 ,2.1,7
59,Tour du Cameroun 2017 ,2.2/U23,8
60,Tour du Maroc 2017 ,2.2/U23,10
61,Fenkil Northern Red Sea Challenge 2017 ,1.2,1
