,team_url
0,https://www.procyclingstats.com/team/ag2r-la-mondiale-2018
1,https://www.procyclingstats.com/team/astana-pro-team-2018
2,https://www.procyclingstats.com/team/bahrain-merida-pro-cycling-team-2018
3,https://www.procyclingstats.com/team/bmc-racing-team-2018
4,https://www.procyclingstats.com/team/bora-hansgrohe-2018
5,https://www.procyclingstats.com/team/groupama-fdj-2018
6,https://www.procyclingstats.com/team/lotto-soudal-2018
7,https://www.procyclingstats.com/team/mitchelton-scott-2018
8,https://www.procyclingstats.com/team/movistar-team-2018
9,https://www.procyclingstats.com/team/quick-step-floors-2018
10,https://www.procyclingstats.com/team/team-dimension-data-2018
11,https://www.procyclingstats.com/team/team-ef-education-first-drapac-p-b-cannondale-2018
12,https://www.procyclingstats.com/team/team-katusha-alpecin-2018
13,https://www.procyclingstats.com/team/team-lottonl-jumbo-2018
14,https://www.procyclingstats.com/team/team-sky-2018
15,https://www.procyclingstats.com/team/team-sunweb-2018
16,https://www.procyclingstats.com/team/trek-segafredo-2018
17,https://www.procyclingstats.com/team/uae-team-emirates-2018
36,https://www.procyclingstats.com/team/androni-sidermec-bottecchia-2018
37,https://www.procyclingstats.com/team/aqua-blue-sport-2018
38,https://www.procyclingstats.com/team/bardiani-csf-2018
39,https://www.procyclingstats.com/team/burgos-bh-2018
40,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2018
41,https://www.procyclingstats.com/team/ccc-sprandi-polkowice-2018
42,https://www.procyclingstats.com/team/cofidis-solutions-credits-2018
43,https://www.procyclingstats.com/team/delko-marseille-provence-ktm-2018
44,https://www.procyclingstats.com/team/direct-energie-2018
45,https://www.procyclingstats.com/team/euskadi-murias-2018
46,https://www.procyclingstats.com/team/gazprom-rusvelo-2018
47,https://www.procyclingstats.com/team/hagens-berman-axeon-2018
48,https://www.procyclingstats.com/team/holowesko-citadel-pb-arapahoe-resources-2018
49,https://www.procyclingstats.com/team/israel-cycling-academy-2018
50,https://www.procyclingstats.com/team/manzana-postobon-2018
51,https://www.procyclingstats.com/team/nippo-vini-fantini-europa-ovini-2018
52,https://www.procyclingstats.com/team/rally-cycling-2018
53,https://www.procyclingstats.com/team/roompot-nederlandse-loterij-2018
54,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2018
55,https://www.procyclingstats.com/team/fortuneo-samsic-2018
56,https://www.procyclingstats.com/team/team-novo-nordisk-2018
57,https://www.procyclingstats.com/team/unitedhealthcare-pro-cycling-team-2018
58,https://www.procyclingstats.com/team/verandas-willems-crelan-2018
59,https://www.procyclingstats.com/team/vital-concept-cycling-club-2018
60,https://www.procyclingstats.com/team/wanty-groupe-gobert-2018
61,https://www.procyclingstats.com/team/wb-aqua-protect-veranclassic-2018
62,https://www.procyclingstats.com/team/wilier-triestina-selle-italia-2018
