,team_url
0,https://www.procyclingstats.com/team/ag2r-la-mondiale-2016
1,https://www.procyclingstats.com/team/astana-pro-team-2016
2,https://www.procyclingstats.com/team/bmc-racing-team-2016
3,https://www.procyclingstats.com/team/cannondale-pro-cycling-team-2016
4,https://www.procyclingstats.com/team/etixx-quick-step-2016
5,https://www.procyclingstats.com/team/fdj-2016
6,https://www.procyclingstats.com/team/iam-cycling-2016
7,https://www.procyclingstats.com/team/lampre-merida-2016
8,https://www.procyclingstats.com/team/lotto-soudal-2016
9,https://www.procyclingstats.com/team/orica-greenedge-2016
10,https://www.procyclingstats.com/team/dimension-data-2016
11,https://www.procyclingstats.com/team/team-giant-alpecin-2016
12,https://www.procyclingstats.com/team/team-katusha-2016
13,https://www.procyclingstats.com/team/team-lottonl-jumbo-2016
14,https://www.procyclingstats.com/team/team-sky-2016
15,https://www.procyclingstats.com/team/tinkoff-2016
16,https://www.procyclingstats.com/team/trek-segafredo-2016
34,https://www.procyclingstats.com/team/androni-giocattoli-sidermec-2016
35,https://www.procyclingstats.com/team/bardiani-csf-2016
36,https://www.procyclingstats.com/team/bora-argon-18-2016
37,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2016
38,https://www.procyclingstats.com/team/ccc-sprandi-polkowice-2016
39,https://www.procyclingstats.com/team/cofidis-solutions-credits-2016
40,https://www.procyclingstats.com/team/delko-marseille-provence-ktm-2016
41,https://www.procyclingstats.com/team/direct-energie-2016
42,https://www.procyclingstats.com/team/drapac-professional-cycling-2016
43,https://www.procyclingstats.com/team/fortuneo-vital-concept-2016
44,https://www.procyclingstats.com/team/funvic-soul-cycles-carrefour-2016
45,https://www.procyclingstats.com/team/gazprom-rusvelo-2016
46,https://www.procyclingstats.com/team/nippo-vini-fantini-2016
47,https://www.procyclingstats.com/team/one-pro-cycling-2016
48,https://www.procyclingstats.com/team/roompot-oranje-peloton-2016
49,https://www.procyclingstats.com/team/stolting-service-group-2016
50,https://www.procyclingstats.com/team/team-novo-nordisk-2016
51,https://www.procyclingstats.com/team/team-roth-2016
52,https://www.procyclingstats.com/team/topsport-vlaanderen-baloise-2016
53,https://www.procyclingstats.com/team/unitedhealthcare-pro-cycling-team-2016
54,https://www.procyclingstats.com/team/verva-activejet-pro-cycling-team-2016
55,https://www.procyclingstats.com/team/wanty-groupe-gobert-2016
56,https://www.procyclingstats.com/team/wilier-southeast-2016
