,team_url
0,https://www.procyclingstats.com/team/ag2r-la-mondiale-2012
1,https://www.procyclingstats.com/team/astana-pro-team-2012
2,https://www.procyclingstats.com/team/bmc-racing-team-2012
3,https://www.procyclingstats.com/team/euskaltel-euskadi-2012
4,https://www.procyclingstats.com/team/fdj-bigmat-2012
5,https://www.procyclingstats.com/team/lampre-isd-2012
6,https://www.procyclingstats.com/team/liquigas-cannondale-2012
7,https://www.procyclingstats.com/team/lotto-belisol-team-2012
8,https://www.procyclingstats.com/team/movistar-team-2012
9,https://www.procyclingstats.com/team/omega-pharma-quick-step-2012
10,https://www.procyclingstats.com/team/orica-greenedge-2012
11,https://www.procyclingstats.com/team/rabobank-cycling-team-2012
12,https://www.procyclingstats.com/team/radioshack-nissan-2012
13,https://www.procyclingstats.com/team/sky-procycling-2012
14,https://www.procyclingstats.com/team/team-garmin-barracuda-2012
15,https://www.procyclingstats.com/team/team-katusha-2012
16,https://www.procyclingstats.com/team/team-saxo-bank-tinkoff-bank-2012
17,https://www.procyclingstats.com/team/vacansoleil-dcm-2012
35,https://www.procyclingstats.com/team/accent.jobs-willems-veranda-s-2012
36,https://www.procyclingstats.com/team/acqua-sapone-2012
37,https://www.procyclingstats.com/team/andalucia-caja-granada-2012
38,https://www.procyclingstats.com/team/androni-giocattoli-venezuela-2012
39,https://www.procyclingstats.com/team/argos-shimano-2012
40,https://www.procyclingstats.com/team/bretagne-schuller-2012
41,https://www.procyclingstats.com/team/caja-rural-2012
42,https://www.procyclingstats.com/team/champion-system-pro-cycling-team-2012
43,https://www.procyclingstats.com/team/cofidis-le-credit-en-ligne-2012
44,https://www.procyclingstats.com/team/colnago-csf-bardiani-2012
45,https://www.procyclingstats.com/team/colombia-coldeportes-2012
46,https://www.procyclingstats.com/team/farnese-vini-neri-sottoli-2012
47,https://www.procyclingstats.com/team/landbouwkrediet-euphony-2012
48,https://www.procyclingstats.com/team/rusvelo-2012
49,https://www.procyclingstats.com/team/saur-sojasun-2012
50,https://www.procyclingstats.com/team/spidertech-powered-by-c10-2012
51,https://www.procyclingstats.com/team/team-europcar-2012
52,https://www.procyclingstats.com/team/team-netapp-2012
53,https://www.procyclingstats.com/team/team-type-1-sanofi-2012
54,https://www.procyclingstats.com/team/topsport-vlaanderen-mercator-2012
55,https://www.procyclingstats.com/team/unitedhealthcare-presented-by-maxxis-2012
56,https://www.procyclingstats.com/team/utensilnord-named-2012
