,team_url
0,https://www.procyclingstats.com/team/ag2r-la-mondiale-2014
1,https://www.procyclingstats.com/team/astana-pro-team-2014
2,https://www.procyclingstats.com/team/belkin-pro-cycling-team-2014
3,https://www.procyclingstats.com/team/bmc-racing-team-2014
4,https://www.procyclingstats.com/team/cannondale-2014
5,https://www.procyclingstats.com/team/fdj.fr-2014
6,https://www.procyclingstats.com/team/garmin-sharp-2014
7,https://www.procyclingstats.com/team/lampre-merida-2014
8,https://www.procyclingstats.com/team/lotto-belisol-2014
9,https://www.procyclingstats.com/team/movistar-team-2014
10,https://www.procyclingstats.com/team/omega-pharma-quick-step-2014
11,https://www.procyclingstats.com/team/orica-greenedge-2014
12,https://www.procyclingstats.com/team/team-europcar-2014
13,https://www.procyclingstats.com/team/team-giant-shimano-2014
14,https://www.procyclingstats.com/team/team-katusha-2014
15,https://www.procyclingstats.com/team/team-sky-2014
16,https://www.procyclingstats.com/team/tinkoff-saxo-2014
17,https://www.procyclingstats.com/team/trek-factory-racing-2014
36,https://www.procyclingstats.com/team/androni-giocattoli-venezuela-2014
37,https://www.procyclingstats.com/team/bardiani-csf-pro-team-2014
38,https://www.procyclingstats.com/team/bretagne-seche-environnement-2014
39,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2014
40,https://www.procyclingstats.com/team/ccc-polsat-polkowice-2014
41,https://www.procyclingstats.com/team/cofidis-solutions-credits-2014
42,https://www.procyclingstats.com/team/drapac-professional-cycling-2014
43,https://www.procyclingstats.com/team/iam-cycling-2014
44,https://www.procyclingstats.com/team/mtn-qhubeka-2014
45,https://www.procyclingstats.com/team/neri-sottoli-2014
46,https://www.procyclingstats.com/team/rusvelo-2014
47,https://www.procyclingstats.com/team/team-colombia-2014
48,https://www.procyclingstats.com/team/team-netapp-endura-2014
49,https://www.procyclingstats.com/team/team-novo-nordisk-2014
50,https://www.procyclingstats.com/team/topsport-vlaanderen-baloise-2014
51,https://www.procyclingstats.com/team/unitedhealthcare-pro-cycling-team-2014
52,https://www.procyclingstats.com/team/wanty-groupe-gobert-2014
