,team_url
0,https://www.procyclingstats.com/team/ag2r-la-mondiale-2017
1,https://www.procyclingstats.com/team/astana-pro-team-2017
2,https://www.procyclingstats.com/team/bahrain-merida-pro-cycling-team-2017
3,https://www.procyclingstats.com/team/bmc-racing-team-2017
4,https://www.procyclingstats.com/team/bora-hansgrohe-2017
5,https://www.procyclingstats.com/team/cannondale-drapac-pro-cycling-team-2017
6,https://www.procyclingstats.com/team/fdj-2017
7,https://www.procyclingstats.com/team/lotto-soudal-2017
8,https://www.procyclingstats.com/team/orica-scott-2017
9,https://www.procyclingstats.com/team/quick-step-floors-2017
10,https://www.procyclingstats.com/team/dimension-data-2017
11,https://www.procyclingstats.com/team/team-katusha-alpecin-2017
12,https://www.procyclingstats.com/team/team-lottonl-jumbo-2017
13,https://www.procyclingstats.com/team/team-sky-2017
14,https://www.procyclingstats.com/team/team-sunweb-2017
15,https://www.procyclingstats.com/team/trek-segafredo-2017
16,https://www.procyclingstats.com/team/uae-team-emirates-2017
34,https://www.procyclingstats.com/team/androni-sidermec-bottecchia-2017
35,https://www.procyclingstats.com/team/aqua-blue-sport-2017
36,https://www.procyclingstats.com/team/bardiani-csf-2017
37,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2017
38,https://www.procyclingstats.com/team/ccc-sprandi-polkowice-2017
39,https://www.procyclingstats.com/team/cofidis-solutions-credits-2017
40,https://www.procyclingstats.com/team/delko-marseille-provence-ktm-2017
41,https://www.procyclingstats.com/team/direct-energie-2017
42,https://www.procyclingstats.com/team/fortuneo-oscaro-2017
43,https://www.procyclingstats.com/team/gazprom-rusvelo-2017
44,https://www.procyclingstats.com/team/israel-cycling-academy-2017
45,https://www.procyclingstats.com/team/manzana-postobon-2017
46,https://www.procyclingstats.com/team/nippo-vini-fantini-2017
47,https://www.procyclingstats.com/team/roompot-nederlandse-loterij-2017
48,https://www.procyclingstats.com/team/soul-brasil-pro-cycling-team-2017
49,https://www.procyclingstats.com/team/sport-vlaanderen-baloise-2017
50,https://www.procyclingstats.com/team/team-novo-nordisk-2017
51,https://www.procyclingstats.com/team/unitedhealthcare-pro-cycling-team-2017
52,https://www.procyclingstats.com/team/verandas-willems-crelan-2017
53,https://www.procyclingstats.com/team/wanty-groupe-gobert-2017
54,https://www.procyclingstats.com/team/wb-veranclassic-aqua-protect-2017
55,https://www.procyclingstats.com/team/wilier-triestina-selle-italia-2017
