,team_url
0,https://www.procyclingstats.com/team/ag2r-la-mondiale-2015
1,https://www.procyclingstats.com/team/astana-pro-team-2015
2,https://www.procyclingstats.com/team/bmc-racing-team-2015
3,https://www.procyclingstats.com/team/etixx-quick-step-2015
4,https://www.procyclingstats.com/team/fdj-2015
5,https://www.procyclingstats.com/team/iam-cycling-2015
6,https://www.procyclingstats.com/team/lampre-merida-2015
7,https://www.procyclingstats.com/team/lotto-soudal-2015
8,https://www.procyclingstats.com/team/orica-greenedge-2015
9,https://www.procyclingstats.com/team/team-cannondale-garmin-2015
10,https://www.procyclingstats.com/team/team-giant-alpecin-2015
11,https://www.procyclingstats.com/team/team-katusha-2015
12,https://www.procyclingstats.com/team/team-lottonl-jumbo-2015
13,https://www.procyclingstats.com/team/team-sky-2015
14,https://www.procyclingstats.com/team/tinkoff-saxo-2015
15,https://www.procyclingstats.com/team/trek-factory-racing-2015
32,https://www.procyclingstats.com/team/androni-giocattoli-sidermec-2015
33,https://www.procyclingstats.com/team/bardiani-csf-pro-team-2015
34,https://www.procyclingstats.com/team/bora-argon-18-2015
35,https://www.procyclingstats.com/team/bretagne-seche-environnement-2015
36,https://www.procyclingstats.com/team/caja-rural-seguros-rga-2015
37,https://www.procyclingstats.com/team/ccc-sprandi-polkowice-2015
38,https://www.procyclingstats.com/team/cofidis-solutions-credits-2015
39,https://www.procyclingstats.com/team/cult-energy-pro-cycling-2015
40,https://www.procyclingstats.com/team/drapac-professional-cycling-2015
41,https://www.procyclingstats.com/team/mtn-qhubeka-2015
42,https://www.procyclingstats.com/team/nippo-vini-fantini-2015
43,https://www.procyclingstats.com/team/roompot-oranje-peloton-2015
44,https://www.procyclingstats.com/team/rusvelo-2015
45,https://www.procyclingstats.com/team/southeast-2015
46,https://www.procyclingstats.com/team/team-colombia-2015
47,https://www.procyclingstats.com/team/team-europcar-2015
48,https://www.procyclingstats.com/team/team-novo-nordisk-2015
49,https://www.procyclingstats.com/team/topsport-vlaanderen-baloise-2015
50,https://www.procyclingstats.com/team/unitedhealthcare-pro-cycling-team-2015
51,https://www.procyclingstats.com/team/wanty-groupe-gobert-2015
