,Date,Finish,Length,Length(km),Race_ID,Stage#,Stage_Name,Stage_Type,Start,url
0,2012-01-17,Clare,149.0,,0,1,Santos Tour Down Under 2012 | Stage 1,PRL,Prospect,https://www.procyclingstats.com/race/tour-down-under/2012/stage-1
1,2012-01-18,Stirling,148.0,,0,2,Santos Tour Down Under 2012 | Stage 2,PRL,Lobethal,https://www.procyclingstats.com/race/tour-down-under/2012/stage-2
2,2012-01-19,Victor Harbor,134.5,,0,3,Santos Tour Down Under 2012 | Stage 3,PRL,Unley,https://www.procyclingstats.com/race/tour-down-under/2012/stage-3
3,2012-01-20,Tanunda,130.0,,0,4,Santos Tour Down Under 2012 | Stage 4,PRL,Norwood,https://www.procyclingstats.com/race/tour-down-under/2012/stage-4
4,2012-01-21,Old Willunga Hill,151.5,,0,5,Santos Tour Down Under 2012 | Stage 5,PRL,McLaren,https://www.procyclingstats.com/race/tour-down-under/2012/stage-5
5,2012-01-22,Adelaide,90.0,,0,6,Santos Tour Down Under 2012 | Stage 6,PRL,Adelaide,https://www.procyclingstats.com/race/tour-down-under/2012/stage-6
6,2012-03-04,Saint-Rémy-lès-Chevreuse,9.4,,1,1,Paris - Nice 2012 | Prologue,RR,Dampierre-en-Yvelines,https://www.procyclingstats.com/race/paris-nice/2012/prologue
7,2012-03-05,Orléans,185.0,,1,2,Paris - Nice 2012 | Stage 2,PRL,Mantes-la-Jolie,https://www.procyclingstats.com/race/paris-nice/2012/stage-2
8,2012-03-06,Lac de Vassivière,194.0,,1,3,Paris - Nice 2012 | Stage 3,PRL,Vierzon,https://www.procyclingstats.com/race/paris-nice/2012/stage-3
9,2012-03-07,Rodez,183.0,,1,4,Paris - Nice 2012 | Stage 4,PRL,Brive la Gaillarde,https://www.procyclingstats.com/race/paris-nice/2012/stage-4
10,2012-03-08,Mende,178.0,,1,5,Paris - Nice 2012 | Stage 5,PRL,Onet-le-Chateau,https://www.procyclingstats.com/race/paris-nice/2012/stage-5
11,2012-03-09,Sisteron,176.5,,1,6,Paris - Nice 2012 | Stage 6,PRL,Suze-la-Rousse,https://www.procyclingstats.com/race/paris-nice/2012/stage-6
12,2012-03-10,Nice,220.0,,1,7,Paris - Nice 2012 | Stage 7,PRL,Sisteron,https://www.procyclingstats.com/race/paris-nice/2012/stage-7
13,2012-03-11,Col d'Eze,9.6,,1,8,Paris - Nice 2012 | Stage 8 (ITT),ITT,Nice,https://www.procyclingstats.com/race/paris-nice/2012/stage-8
14,2012-03-07,Donoratico,16.9,,2,1,Tirreno-Adriatico 2012 | Stage 1 (TTT),TTT,San Vincenzo,https://www.procyclingstats.com/race/tirreno-adriatico/2012/stage-1
15,2012-03-08,Arezzo,230.0,,2,2,Tirreno-Adriatico 2012 | Stage 2,PRL,San Vincenzo,https://www.procyclingstats.com/race/tirreno-adriatico/2012/stage-2
16,2012-03-09,Terni,178.0,,2,3,Tirreno-Adriatico 2012 | Stage 3,PRL,Indicatore,https://www.procyclingstats.com/race/tirreno-adriatico/2012/stage-3
17,2012-03-10,Chieti,252.0,,2,4,Tirreno-Adriatico 2012 | Stage 4,PRL,Amelia,https://www.procyclingstats.com/race/tirreno-adriatico/2012/stage-4
18,2012-03-11,Prati Di Tivo,196.0,,2,5,Tirreno-Adriatico 2012 | Stage 5,PRL,Martinsicuro,https://www.procyclingstats.com/race/tirreno-adriatico/2012/stage-5
19,2012-03-12,Offida,181.0,,2,6,Tirreno-Adriatico 2012 | Stage 6,PRL,Offida,https://www.procyclingstats.com/race/tirreno-adriatico/2012/stage-6
20,2012-03-13,San Benedetto Del Tronto,9.3,,2,7,Tirreno-Adriatico 2012 | Stage 7 (ITT),ITT,San Benedetto Del Tronto,https://www.procyclingstats.com/race/tirreno-adriatico/2012/stage-7
21,2012-03-17,Sanremo,298.0,,3,0,Milano-Sanremo 2012,PRL,Milano,race/milano-sanremo/2012
22,2012-03-19,Calella,138.9,,4,1,Volta Ciclista a Catalunya 2012 | Stage 1,PRL,Calella,https://www.procyclingstats.com/race/volta-a-catalunya/2012/stage-1
23,2012-03-20,Girona,161.0,,4,2,Volta Ciclista a Catalunya 2012 | Stage 2,PRL,Girona,https://www.procyclingstats.com/race/volta-a-catalunya/2012/stage-2
24,2012-03-21,Port Ainé,155.0,,4,3,Volta Ciclista a Catalunya 2012 | Stage 3,PRL,La Vall d'en Bas,https://www.procyclingstats.com/race/volta-a-catalunya/2012/stage-3
25,2012-03-22,Ascó,199.0,,4,4,Volta Ciclista a Catalunya 2012 | Stage 4,PRL,Tremp,https://www.procyclingstats.com/race/volta-a-catalunya/2012/stage-4
26,2012-03-23,Manresa,207.1,,4,5,Volta Ciclista a Catalunya 2012 | Stage 5,PRL,Ascó,https://www.procyclingstats.com/race/volta-a-catalunya/2012/stage-5
27,2012-03-24,Badalona,169.4,,4,6,Volta Ciclista a Catalunya 2012 | Stage 6,PRL,Sant Fruitós de Bages,https://www.procyclingstats.com/race/volta-a-catalunya/2012/stage-6
28,2012-03-25,Barcelona,119.8,,4,7,Volta Ciclista a Catalunya 2012 | Stage 7,PRL,Badalona,https://www.procyclingstats.com/race/volta-a-catalunya/2012/stage-7
29,2012-03-23,Harelbeke,203.0,,5,0,E3 Prijs Vlaanderen 2012,PRL,Harelbeke,race/e3-harelbeke/2012
30,2012-03-25,Gent,235.0,,6,0,Gent - Wevelgem 2012,PRL,Deinze,race/gent-wevelgem/2012
31,2012-04-01,Oudenaarde,256.0,,7,0,Ronde van Vlaanderen / Tour des Flandres 2012,PRL,Brugge,race/ronde-van-vlaanderen/2012
32,2012-04-02,Güeñes,154.0,,8,1,Vuelta Ciclista al Pais Vasco 2012 | Stage 1,PRL,Güeñes,https://www.procyclingstats.com/race/itzulia-basque-country/2012/stage-1
33,2012-04-03,Vitoria,165.7,,8,2,Vuelta Ciclista al Pais Vasco 2012 | Stage 2,PRL,Güeñes,https://www.procyclingstats.com/race/itzulia-basque-country/2012/stage-2
34,2012-04-04,Arrate,152.0,,8,3,Vuelta Ciclista al Pais Vasco 2012 | Stage 3,PRL,Vitoria,https://www.procyclingstats.com/race/itzulia-basque-country/2012/stage-3
35,2012-04-05,Col d'Ibardin,151.0,,8,4,Vuelta Ciclista al Pais Vasco 2012 | Stage 4,PRL,Éibar,https://www.procyclingstats.com/race/itzulia-basque-country/2012/stage-4
36,2012-04-06,Oñate,183.0,,8,5,Vuelta Ciclista al Pais Vasco 2012 | Stage 5,PRL,Vera de Bidasoa,https://www.procyclingstats.com/race/itzulia-basque-country/2012/stage-5
37,2012-04-07,Oñate,18.9,,8,6,Vuelta Ciclista al Pais Vasco 2012 | Stage 6 (ITT),ITT,Oñate,https://www.procyclingstats.com/race/itzulia-basque-country/2012/stage-6
38,2012-04-08,Finish,257.5,,9,0,Paris - Roubaix 2012,PRL,Start,race/paris-roubaix/2012
39,2012-04-15,Valkenburg,256.5,,10,0,Amstel Gold Race 2012,PRL,Maastricht,race/amstel-gold-race/2012
40,2012-04-18,Huy,194.0,,11,0,La Flèche Wallonne 2012,PRL,Charleroi,race/la-fleche-wallone/2012
41,2012-04-22,Finish,0.0,,12,0,Liège - Bastogne - Liège 2012,PRL,Start,race/liege-bastogne-liege/2012
42,2012-04-24,Lausanne,3.34,,13,1,Tour de Romandie 2012 | Prologue,RR,Lausanne,https://www.procyclingstats.com/race/tour-de-romandie/2012/prologue
43,2012-04-25,La Chaux-de-Fonds,184.5,,13,2,Tour de Romandie 2012 | Stage 1,PRL,Morges,https://www.procyclingstats.com/race/tour-de-romandie/2012/stage-1
44,2012-04-26,Moutier,149.1,,13,3,Tour de Romandie 2012 | Stage 2,PRL,Montbéliard,https://www.procyclingstats.com/race/tour-de-romandie/2012/stage-2
45,2012-04-27,Charmey,157.6,,13,4,Tour de Romandie 2012 | Stage 3,PRL,La Neuveville,https://www.procyclingstats.com/race/tour-de-romandie/2012/stage-3
46,2012-04-28,Sion,184.0,,13,5,Tour de Romandie 2012 | Stage 4,PRL,Bulle,https://www.procyclingstats.com/race/tour-de-romandie/2012/stage-4
47,2012-04-29,Crans-Montana,16.5,,13,6,Tour de Romandie 2012 | Stage 5 (ITT),ITT,Crans-Montana,https://www.procyclingstats.com/race/tour-de-romandie/2012/stage-5
48,2012-05-05,Herning,8.7,,14,1,Giro d'Italia 2012 | Stage 1 (ITT),ITT,Herning,https://www.procyclingstats.com/race/giro-d-italia/2012/prologue
49,2012-05-06,Herning,206.0,,14,2,Giro d'Italia 2012 | Stage 2,PRL,Herning,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-2
50,2012-05-07,Horsens,190.0,,14,3,Giro d'Italia 2012 | Stage 3,PRL,Horsens,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-3
51,2012-05-09,Verona,33.2,,14,4,Giro d'Italia 2012 | Stage 4 (TTT),TTT,Verona,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-4
52,2012-05-10,Fano,209.0,,14,5,Giro d'Italia 2012 | Stage 5,PRL,Modena,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-5
53,2012-05-11,Porto Sant'Elpidio,210.0,,14,6,Giro d'Italia 2012 | Stage 6,PRL,Urbino,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-6
54,2012-05-12,Rocca di Cambio,205.0,,14,7,Giro d'Italia 2012 | Stage 7,PRL,Recanati,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-7
55,2012-05-13,Lago Laceno,229.0,,14,8,Giro d'Italia 2012 | Stage 8,PRL,Sulmona,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-8
56,2012-05-14,Frosinone,166.0,,14,9,Giro d'Italia 2012 | Stage 9,PRL,San Giorgio nel Sannio,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-9
57,2012-05-15,Assisi,186.0,,14,10,Giro d'Italia 2012 | Stage 10,PRL,Civitavecchia,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-10
58,2012-05-16,Montecatini Terme,255.0,,14,11,Giro d'Italia 2012 | Stage 11,PRL,Assisi,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-11
59,2012-05-17,Sestri Levante,155.0,,14,12,Giro d'Italia 2012 | Stage 12,PRL,Seravezza,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-12
60,2012-05-18,Cervere,121.0,,14,13,Giro d'Italia 2012 | Stage 13,PRL,Savona,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-13
61,2012-05-19,Breuil-Cervinia,206.0,,14,14,Giro d'Italia 2012 | Stage 14,PRL,Cherasco,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-14
62,2012-05-20,Piani dei Resinelli,169.0,,14,15,Giro d'Italia 2012 | Stage 15,PRL,Busto Arsizio,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-15
63,2012-05-22,Falzes,173.0,,14,16,Giro d'Italia 2012 | Stage 16,PRL,Limone del Garda,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-16
64,2012-05-23,Cortina d'Ampezzo,186.0,,14,17,Giro d'Italia 2012 | Stage 17,PRL,Falzes,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-17
65,2012-05-24,Vedelago,149.0,,14,18,Giro d'Italia 2012 | Stage 18,PRL,San Vito Cadore,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-18
66,2012-05-25,Alpe di Pamepago,198.0,,14,19,Giro d'Italia 2012 | Stage 19,PRL,Treviso,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-19
67,2012-05-26,Passo dello Stelvio,219.0,,14,20,Giro d'Italia 2012 | Stage 20,PRL,Val di Sole,https://www.procyclingstats.com/race/giro-d-italia/2012/stage-20
