,Date,Finish,Length,Length(km),Race_ID,Stage#,Stage_Name,Stage_Type,Start,url
2563,2015-09-10,Hartside Fell,166.4,,1175,5,Tour of Britain 2015 | Stage 5,PRL,Prudhoe,https://www.procyclingstats.com/race/tour-of-britain/2015/stage-5
2564,2015-09-11,Nottingham,192.7,,1175,6,Tour of Britain 2015 | Stage 6,PRL,Stoke-on-Trent,https://www.procyclingstats.com/race/tour-of-britain/2015/stage-6
2565,2015-09-12,Ipswich,227.1,,1175,7,Tour of Britain 2015 | Stage 7,PRL,Fakenham,https://www.procyclingstats.com/race/tour-of-britain/2015/stage-7
2566,2015-09-13,London,86.8,,1175,8,Tour of Britain 2015 | Stage 8,PRL,London,https://www.procyclingstats.com/race/tour-of-britain/2015/stage-8
2567,2015-09-06,Echt,199.0,,1176,0,Kernen Omloop Echt-Susteren 2015,PRL,Echt,race/kernen-omloop-echt-susteren/2015
2568,2015-09-10,Azzano,163.4,,1177,1,Giro della Regione Friuli Venezia Giulia 2015 | Stage 1,PRL,Villa Santini,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2015/stage-1
2569,2015-09-11,Arte Terme,166.5,,1177,2,Giro della Regione Friuli Venezia Giulia 2015 | Stage 2,PRL,S. Giorgio della Richinvelda,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2015/stage-2
2570,2015-09-12,Resia,168.2,,1177,3,Giro della Regione Friuli Venezia Giulia 2015 | Stage 3,PRL,Palmanova,https://www.procyclingstats.com/race/giro-della-regione-friuli-venezia-giulia/2015/stage-3
2571,2015-09-11,Trebechovice p. O.,158.6,,1178,1,East Bohemia Tour 2015 | Stage 1,PRL,Trebechovice p. O.,https://www.procyclingstats.com/race/tour-bohemia/2015/stage-1
2572,2015-09-12,Horice,166.4,,1178,2,East Bohemia Tour 2015 | Stage 2,PRL,Horice,https://www.procyclingstats.com/race/tour-bohemia/2015/stage-2
2573,2015-09-13,Opocno,178.0,,1178,3,East Bohemia Tour 2015 | Stage 3,PRL,Opocno,https://www.procyclingstats.com/race/tour-bohemia/2015/stage-3
