,rider_url
525,ryan-eastman
530,alex-kirsch
539,fabio-silvestre
540,jasper-stuyven
545,calvin-watson
546,riccardo-zoidl
555,carlos-galviz
558,marcin-mrosek
562,angelo-raffaele
566,alessio-taliani
567,nicola-testi
578,paolo-colonna
582,andrea-manfredi
583,dario-mantelli
585,andrea-piechele
588,paolo-simion
589,simone-sterbini
592,franck-bonnamour
601,axel-journiaux
606,kevin-ledanois
612,miguel-angel-benito
620,fernando-grijalba
623,lluis-guillermo-mas
624,antonio-molina
625,heiner-rodrigo-parra
629,arnau-sole
654,loic-chetout
661,dylan-kowalski
662,christophe-laporte
675,anthony-turgis
679,jack-anderson
681,brendan-canty
683,jai-crawford
684,floris-goesinnen
685,robbie-hucker
686,benjamin-johnson
687,jordan-kerby
688,darren-lapthorne
690,lachlan-norris
691,thomas-palmer
692,adam-phelan
693,malcolm-rudolph
695,bernard-sulzberger
702,sondre-holst-enger
709,claudio-imhof
716,simon-pellaud
728,nick-dougall
731,karel-hnik
753,gianni-bellini
755,giorgio-cecchinel
758,samuele-conti
759,andrea-dal-col
762,andrea-fedi
764,giuseppe-fonzi
772,mirko-tedeschi
774,ivan-balykin
785,kirill-pozdnyakov
793,edward-fabian-diaz
796,luis-alberto-largo
798,darwin-ferney-pantoja
799,jonathan-paredes
804,rodolfo-andres-torres
808,sam-bennett
815,patrick-konrad
816,alexander-krieger
821,gregor-muhlberger
822,frantisek-padour
829,scott-ambrose
832,ruud-cremers
834,benjamin-dilley
837,nicolas-lefrancois
843,charles-planet
847,victor-campenaerts
851,moreno-de-pauw
857,jonas-rickaert
861,edward-theuns
869,otto-vergaerde
874,isaac-bolivar
882,ken-hanson
895,federico-zurlo
910,alexander-maes
911,marco-minnaard
7,romain-campistrous
27,florent-pereira
50,miguel-angel-lopez
64,tom-bohli
73,campbell-flakemore
74,kilian-frankiny
75,floris-gerts
78,stefan-kung
87,manuel-senni
101,rodrigo-contreras
103,fernando-gaviria
124,lukasz-wisniowski
131,fabien-doubey
134,marc-fournier
136,elie-gesbert
192,mario-costa
195,filippo-ganna
202,luca-pacioni
203,luka-pibernik
207,edward-ravasi
227,frederik-frison
239,dries-van-gestel
240,kenneth-van-rooy
255,jack-haig
275,jasper-bovenhuis
293,ryan-mullen
295,kristoffer-skjerping
300,ruben-zepuntke
315,carter-jones
325,lars-van-der-haar
328,max-walscheid
346,nils-politt
348,jhonatan-restrepo
361,koen-bouwman
363,twan-castelijns
377,timo-roosen
380,mike-teunissen
395,tao-geoghegan-hart
406,alex-peters
428,michael-gogl
429,felix-grossschartner
448,antwan-tolhoek
455,leonardo-basso
457,julien-bernard
466,daniel-mcconnell
471,szymon-rekita
486,massimiliano-barbero-piantino
490,john-ebsen
494,carlos-gimenez
496,alberto-nardin
504,serghei-tvetcov
505,mattia-viel
509,simone-andreetta
514,luca-chirico
524,alessandro-tonelli
526,shane-archbold
528,phil-bauhaus
531,emanuel-buchmann
539,christoph-pfingsten
540,lukas-postlberger
550,matthieu-boulo
552,maxime-cam
565,valentin-madouas
566,daniel-mclay
567,caio-godoy-ormenese
573,carlos-barbero
576,hugh-carthy
579,jose-goncalves
581,carlos-jimenez-esp
586,kyle-murphy
589,eduard-prades
590,jaime-roson
591,hector-saez
593,ricardo-vilela
595,piotr-brozyna
598,jan-hirt
600,jakub-kaczmarek
603,eryk-laton
606,kamil-malecki
609,michal-paluta
611,leszek-plucinski
615,stefan-schumacher
617,patryk-stosz
623,rayane-bouhanni
628,hugo-hofstetter
637,stephane-rossetto
638,xabier-san-sebastian
648,michael-carbel
656,christian-mager
658,mads-pedersen
659,rasmus-quaade
660,michael-reihs
663,joel-zangerle
667,brad-evans
670,brenton-jones
673,peter-koning
677,cameron-peterson
681,samuel-spokes
696,jayde-julius
708,giacomo-berlato
709,alessandro-bisolti
710,didier-chaparro
714,iuri-filosi
715,eduard-michael-grosu
716,manabu-ishibashi
717,shiki-kuroeda
719,nicolas-marini
720,antonio-nibali
721,emanuele-onesti
725,genki-yamamoto
726,jesper-asselman
728,berden-de-vries
729,huub-duijn
730,dylan-groenewegen
733,tim-kerkhof
738,andre-looij
740,mike-terpstra
741,etienne-van-empel
742,sjoerd-van-ginneken
743,brian-van-goethem
744,ildar-arslanov
748,alexander-evtushenko
752,aleksandr-komin
753,alexey-kurbatov
754,roman-kustadinchev
757,artem-nych
764,mamyr-stash
765,julen-amezqueta
768,liam-bertazzo
769,matteo-busato
780,jakub-mareczko
784,cristian-rodriguez
787,eugert-zhupa
789,felix-alejandro-baron
790,alex-cano-ardila
791,camilo-jorge-castiblanco
795,daniel-felipe-martinez
796,juan-sebastian-molano
799,walter-fernando-pedraza-morales
801,carlos-mario-ramirez
802,brayan-stiven-ramirez-chacon
809,thomas-boudat
818,romain-guyot
831,simon-sellier
833,guillaume-thevenot
837,corentin-cherhal
840,gerd-de-keijzer
843,james-glasspool
845,brian-kamstra
852,simon-strobel
856,amaury-capiot
859,floris-de-tier
872,bert-van-lerberghe
873,jef-van-meirhaeghe
878,jens-wallays
895,tanner-putt
903,romain-barroso
905,kevin-callebaut
908,tom-devriendt
909,boris-dron
921,robin-stenuit
7,benoit-cosnefroy
13,etienne-fabre
28,remy-rochas
36,zhandos-bizhigitov
49,nurbolat-kulimbetov
54,dias-omirzakov
63,artyom-zakharov
74,taylor-eisenhart
79,fabian-lienhard
98,patrick-bevin
104,jonathan-dibben
118,toms-skujins
125,michael-woods
132,adrien-costa
134,laurens-de-plus
135,ivan-garcia-cortina
148,hamish-schreurs
150,frantisek-sisr
167,odd-christian-eiking
171,david-gaudu
173,daniel-hoelgaard
179,jeremy-maison
193,leo-vincent
234,fausto-masnada
240,simone-petilli
244,oliviero-troia
259,kevin-deltombe
263,michael-goolaerts
271,james-shaw
282,king-lok-cheung
286,alexander-edmondson
300,robert-power
301,nick-schultz
314,mekseb-debesay
317,metkel-eyob
320,amanuel-ghebreigzabhier
321,ryan-gibbons
349,jochem-hoekstra
352,max-kanter
353,soren-kragh-andersen
356,sindre-skjoestad-lunke
357,sam-oomen
382,matvey-mamykin
405,zhi-hui-jiang
413,primoz-roglic
422,alexey-vermeulen
427,owain-doull
441,gianni-moscon
455,davide-ballerini
456,erik-baska
463,lorenzo-fortunato
473,andrea-montagnoli
486,piet-allegaert
500,jacopo-mosca
505,jose-luis-rodriguez
515,egan-bernal
516,raffaello-bonusi
520,mattia-de-marchi
522,rino-gasparrini
538,giulio-ciccone
540,mirco-maestri
542,lorenzo-rota
548,simone-velasco
557,silvio-herklotz
573,iker-azkarate
579,alberto-gallego
581,domingos-goncalves
582,jon-irisarri
583,jonathan-lastra
593,josu-zabala
594,alan-banaszek
597,victor-de-la-parte
629,dorian-godon
635,mathias-le-turnier
640,anthony-perez
649,mikel-aristi
650,romain-combaud
651,lucas-de-rossi
653,daniel-diaz
656,delio-fernandez
657,fredrik-strand-galta
658,benjamin-giraud
660,asbjorn-kragh-andersen
661,martin-laas
664,sofiane-merignat
665,quentin-pacher
667,thomas-vaubourzeix
670,lilian-calmejane
676,marlon-gaillard
678,fabien-grellier
684,paul-ourselin
701,jason-lowndes
722,camille-guerin
727,julien-loubet
729,justin-mottier
734,steven-tronet
737,murilo-ferraz-affonso
738,otavio-didier-bulgarelli
739,francisco-chamorro
740,andre-de-souza-almeida
741,alex-diniz
742,joo-gaspar
743,gabriel-machado-silva
744,nathan-mahler
745,alexandre-carlos-manarelli
746,luis-mendonca
747,magno-prado
748,pedro-autran-dourado-dutra-nicacio
750,rodrigo-quirino
751,kleber-ramos
752,wilson-ramiro-rincon
753,flavio-cardoso
754,roberto-pinheiro-silva
770,aleksey-rybalkin
773,evgeny-shalunov
776,kirill-sveshnikov
777,aydar-zakarin
778,nicola-bagioli
786,david-gaona
789,marino-kobayashi
790,yuma-koishi
791,kazushige-kuboki
798,yanto-barker
799,tom-baylis
800,marcin-bialoblocki
804,richard-handley
805,george-harper
806,kristian-house
807,joshua-hunt
809,hayden-mccormick
812,chris-opie
813,james-oram
816,sam-williams
817,peter-williams-1
839,moritz-backofen
845,lennard-kamna
846,alexander-kamp
848,thomas-koep
854,sven-reutter
855,jonas-tenbrock
857,alexander-weifenbach
858,willi-willwohl
860,mehdi-benhamouda
875,quentin-valognes
876,rik-van-ijzendoorn
879,valentin-baillifard
880,nicolas-baldo
881,david-belda
882,nico-brungger
883,alberto-cecchin
884,marco-d-urbano
885,lucas-manuel-gaday
887,lukas-jaun
890,tristan-marguet
891,dylan-page
892,frank-pache
895,colin-stussi
896,roland-thalmann
897,nicola-toffali
898,giacomo-tomio
900,rino-zampilli
903,aime-de-gendt
908,maxime-farazijn
911,ruben-pols
930,daniel-eaton
932,daniel-alexander-jaramillo-diez
935,ty-magner
941,stanisaw-aniolkowski
942,adrian-banaszek
943,norbert-banaszek
944,pawel-bernas
945,lukasz-bodnar
947,pawel-cieslik
948,pawel-franczak
949,kamil-gradek
951,jonas-koch
952,michal-podlaski
953,jiri-polnicky
955,adam-stachowiak
956,daniel-staniszewski
960,jenthe-biermans
962,dimitri-claeys
965,antoine-demoitie
972,mark-mcnally
976,miles-scotson
987,johnatan-canaveral
990,matteo-draperi
991,gilbert-ducornau
992,xuban-errazkin-perez
1000,cristian-raileanu
1004,mirko-trosino
2,rudy-barbier
10,aurelien-doleatto
14,julien-duval
19,kevin-geniets
27,nans-peters
30,clement-russo
43,yevgeniy-gidich
49,truls-korsaeth
51,karl-patrick-lauk
54,riccardo-minali
58,nikita-stalnov
71,ondrej-cink
75,andrea-garosio
79,jon-ander-insausti
85,domen-novak
86,mark-padun
88,david-per
91,andrea-toniatti
93,meiyin-wang
107,patrick-muller
120,nathan-van-hooydonck
123,bram-welten
125,pascal-ackermann
165,cyrus-monk
180,bruno-armirail
208,romain-seigle
226,senne-leysen
229,remy-mertz
231,emiel-planckaert
237,mathias-van-gompel
242,enzo-wouters
274,remi-cavagna
281,alvaro-jose-hodeg
283,przemyslaw-kasperkiewicz
289,enric-mas
292,maximilian-schachmann
306,nickolas-dlamini
321,ben-o-connor
336,piotr-havik
347,marco-mathis
355,mads-wurtz-schmidt
368,amund-grondahl-jansen
369,adriaan-janssen
425,chris-hamilton
426,lennard-hofstede
435,leon-rohde
449,nicola-conci
451,gregory-daniel
457,ruben-guerreiro
461,matteo-moschetti
470,ayden-toovey
473,anass-ait-el-abdia
476,simone-consonni
484,seid-lizde
487,yousef-mohamed-mirza
495,alexandr-riabushenko
496,francesco-romano
509,mattia-frapporti
511,matteo-malucelli
515,kevin-rivera
516,ivan-ramiro-sosa
517,matteo-spreafico
520,andrea-vendrame
523,mark-christian
525,conor-dunne
527,aaron-gate
534,daniel-pearson
537,vincenzo-albanese
541,michael-bresciani
545,marco-maronese
546,umberto-orsini
547,nicolo-pacinotti
557,alex-aranburu
561,danilo-celano
567,justin-oien
570,oscar-pelegri
572,rafael-reis
577,gonzalo-serrano
578,manuel-sola
598,michal-schlegel
602,jan-tratnik
604,fernando-barcelo
614,victor-lafay
627,tanguy-turgis
634,jonathan-couanon
637,benjamin-dyball
646,emils-liepins
650,john-anderson-rodriguez
655,mathieu-burgaudeau
668,florian-maitre
671,clement-orceau
688,thibault-guernalec
694,kenny-molly
698,alan-riou
705,nikolay-cherkasov
709,evgeny-kobernyak
711,stepan-kurianov
731,jose-manuel-diaz-gallego
732,itamar-einhorn
733,roy-goldstein
734,luis-lemus
736,krists-neilands
737,guy-niv
738,ben-perry
739,mihkel-raim
740,guy-sagiv
742,nicolas-sessler
743,daniel-turek
745,tyler-williams
746,aviv-yechezkel
747,hernan-aguirre
748,juan-jose-amador-castano
749,hernando-bohorquez
751,luis-carlos-chia-bermudez
752,jhojan-garcia
753,sergio-higuita
755,fernando-orjuela
756,juan-felipe-osorio
757,wilmar-paredes
759,aldemar-reyes
760,ever-alexander-rivera
761,cristian-stiven-ruiz-pelaez
762,yecid-sierra
763,bernardo-suaza
765,juan-villegas
770,joan-bou
772,damiano-cima
777,masakazu-ito
783,hideto-nakane
784,hiroki-nishimura
787,kohei-uchima
788,tim-ariesen
790,martijn-budding
795,jeroen-meijers
797,elmar-reinders
798,oscar-riesebeek
800,taco-van-der-hoorn
808,lauro-cesar-chaman
811,andre-eduardo-gohr
813,breno-morais-santos
817,raphael-pires
818,victor-ranghetti
820,daniel-silva
822,lincoln-do-vale
829,lindsay-de-vijlder
830,benjamin-declercq
834,christophe-noppe
835,edward-planckaert
847,sam-brand
852,romain-gioux
856,reid-mcclure
860,umberto-poli
867,alexander-cataford
877,travis-mccabe
883,dries-de-bondt
886,timothy-dupont
887,stan-godrie
889,jappe-jaspers
891,arjen-livyns
892,tim-merlier
895,lennert-teugels
896,wout-van-aert
897,elias-van-breussegem
898,stef-van-zummeren
903,jasper-de-laat
907,brecht-dhaene
909,thomas-gibbons
925,ludwig-de-winter
927,tom-dernies
928,thomas-deruette
929,jimmy-duquennoy
933,justin-jules
935,christophe-masson
936,julien-mortier
937,lawrence-naesen
938,olivier-pardini
939,dimitri-peyskens
940,ludovic-robeet
941,lukas-spengler
942,julien-stassen
943,lionel-taminiaux
945,antoine-warnier
952,yuri-colonna
956,miguel-eduardo-florez
960,mattia-marcelli
965,luca-raggio
968,alex-turrin
5,geoffrey-bouchard
6,clement-champoussin
26,aurelien-paret-peintre
28,nicolas-prodhomme
43,jonas-gregaard
86,hermann-pernsteiner
88,maxim-pirard
93,stephen-williams
102,alexander-evans
106,freddy-ovett
145,johannes-schinnagel
150,alexys-brunel
152,clement-davy
175,benjamin-thomas-2
186,stan-dewulf
192,bjorg-lambrecht
200,gerben-thijssen-bel
202,brent-van-moer
204,harm-vanhoucke
212,brayan-chaves
217,lucas-hamilton
229,robert-stannard
230,xiaolong-sun
238,jorge-arcas
242,nuno-bico
243,richard-carapaz
244,hector-carretero
245,jaime-castrillo
251,antonio-pedrero
257,marc-soler
262,kasper-asgreen
271,mikkel-honore
272,fabio-jakobsen
275,james-knox
280,jhonatan-narvaez
281,barnabas-peak
296,scott-davies
307,kent-main
314,matteo-sobrero
315,connor-swift
324,julian-cardona-tabares
333,kim-magnusson
339,jose-fernandes
340,logan-owen
346,julius-van-den-berg
348,james-whelan
353,steff-cras
355,matteo-fabbro
368,kenny-nijssen
372,willie-smit
374,dmitry-strakhov
384,pascal-eenkhoorn
389,sepp-kuss
392,jan-maas
395,neilson-powless
411,mark-donovan
413,edward-irl-dunbar
418,kristoffer-halvorsen
419,ethan-hayter
426,christopher-lawless
433,pavel-sivakov
440,cees-bol
443,nils-eekhoff
448,jai-hindley
457,michael-storer
474,niklas-eg
476,alex-frame
489,michel-ries
497,andrea-bagioli
503,alessandro-covi
519,german-nicolas-tivani-perez
555,casper-pedersen
562,giovanni-carboni
569,daniel-savini
576,oscar-cabedo
577,jorge-cubero
578,jesus-ezquerra-muela
579,paniego-fuentes
580,adrian-gonzalez
582,victor-langellotti
583,daniel-lopez
586,igor-merino
587,james-mitri
588,gabriel-pons
589,alvaro-robredo
594,pablo-torres
599,alvaro-cuadros
605,mauricio-moreira
612,joaquim-silva
613,nelson-soto
614,yannis-yssaad
616,amaro-manuel-antunes
630,szymon-sajnok
651,emmanuel-morin
654,antonio-puppio
657,anders-skaarseth
665,joseph-areruya
670,alessandro-fedeli
677,jeremy-leveau
680,robin-meyer
687,julien-trarieux
706,david-riviere
713,aritz-bagues
715,ander-barrenetxea
716,cyril-barthe
717,mikel-bizkarra
719,aitor-gonzalez-prieto
720,julen-irizar
721,mikel-iturria
724,oscar-rodriguez
725,sergio-rodriguez
727,sergio-samitier
729,benat-txoperena
730,gotzon-udondo
738,vladislav-kulikov
739,alexandr-kulikovskiy
743,denis-nekrasov
749,sergey-shilov
751,aleksandr-vlasov
752,joao-almeida
753,edward-anderson
754,william-barta
755,sean-bennett
756,mikkel-bjerg
757,christopher-blevins
758,jonathan-brown
759,cole-davis
760,ian-garrison
761,zeke-mostov
762,ivo-emanuel-alves
763,rui-oliveira
764,jasper-philipsen
765,thomas-revard
766,michael-rice
767,maikel-zijlaard
768,miguel-bryon
769,nicolai-brochner
770,evan-bybee
771,ruben-companioni
772,andrew-dahlheim
774,andzs-flaksis
775,bryan-gomez
776,grant-koontz
777,andrei-krasilnikau
778,joe-lewis
781,brendan-rhim
782,brayan-sanchez
783,morgan-schmitt
785,matteo-badilatti
787,clement-carisey
793,awet-gebremedhin-andemeskel
795,omer-goldstein
797,august-jensen
822,jordan-parra
829,leonardo-bonifazio
833,imerio-cima
836,sho-hatsuyama
843,hayato-okamoto
845,miguel-reyes
847,marco-tizza
849,hayato-yoshida
850,filippo-zaccanti
852,jesse-anthony
853,rob-britton
854,robin-carpenter
855,matteo-dal-cin
856,adam-de-vos
857,nigel-ellsay
858,charles-bradley-huff
860,colin-joyce
862,brandon-mcnulty
864,emerson-oronte
866,eric-young
870,robbert-de-greef
872,kevin-inkelaar
882,jan-willem-van-schip
895,robbe-ghys
896,milan-menten
906,aaron-verwilst
907,jordi-warlop
908,sasha-weemaes
923,romain-le-roux
924,florentin-lecamus-lambert
934,oliver-behringer
941,declan-irvine
945,emanuel-mini
962,eric-marcotte
967,hugo-angel-velazquez
968,luuc-bugter
969,gil-d-heygere
972,mathias-de-witte
981,guillaume-seye
989,maxime-chevalier
994,corentin-ermenault
996,adrien-garel
999,jeremy-lecroq
1000,gaetan-lemoine
1013,alfdan-de-decker
1020,pierre-goebeert
1048,franklin-six
1054,tom-wirtgen
1056,simone-bevilacqua
1062,moreno-marchetti
1064,maxence-moncassin
1069,nicholas-rinaldi
1070,massimo-rosa
1071,sebastian-schonberger
20,jaakko-hanninen
22,matteo-jorgenson
23,anthony-jullien
54,yuriy-natarov
55,vadim-pronskiy
137,alfred-wright
138,georg-zimmermann
146,remco-evenepoel
147,samuel-gaze
163,jannik-steimle
171,jonathan-klever-caicedo
193,luis-villalobos-hernandez
194,matthew-walls
208,ziga-jerman
213,matis-louvel
238,fredrik-hagen-carl
240,rasmus-byriel-iversen
258,edoardo-affini
266,james-fouche
268,kaden-groves
281,callum-scotson
319,stefan-de-bod
328,alexander-konychev
330,gino-mader
337,rasmus-tiller
381,stef-krul
397,jonas-vingegaard-rasmussen
402,dylan-boumans
412,juri-hollmann
421,harry-tanfield
435,marc-hirschi
439,marten-kooistra
443,joris-nieuwenhuis
448,martin-salmon
450,florian-stork
461,nicolas-debeaumarche
469,juan-pedro-lopez
477,charlie-quarterman
484,matthew-beers
490,nicolas-dalla-valle
501,cristian-munoz
506,tadej-pogacar
514,mattia-bais
521,leonardo-fedrigo
528,daniel-munoz
530,simone-ravanelli
532,josip-rumac
534,nicola-venchiarutti
541,luca-covili
546,alessandro-pessot
560,gibson-matthew
566,manuel-penalver
570,jaume-sureda
576,sanchez-canellas
577,jefferson-cepeda-hernandez
581,david-gonzalez-lopez
584,oier-lazkano
586,sergio-martin
588,sebastian-mora-vedri
590,joel-nicolau
592,eusebio-pascual
603,eddy-fine
613,pit-leyder
622,damien-touze
625,attilio-viviani
627,antoine-benoist
628,brent-cle
631,petter-fagerhaug
634,jimmy-janssens
635,tom-meeusen
636,marcel-meisen
639,loris-rouiller
641,mathieu-van-der-poel
642,david-van-der-poel
643,maarten-van-trijp
645,gianni-vermeersch
646,philipp-walsleben
648,simon-carr
651,alexandre-delettre
659,mickael-guichard
674,urko-berrade-fernandez
677,mario-gonzalez-salas
681,juan-antonio-lopez-cozar-jaimez
688,jose-daniel-viejo
698,marco-landi
701,anton-popov-aleksandrovich
703,petr-rikunov
711,anton-vtiurin
716,andre-carvalho
718,jakob-egholm
720,liam-holowesko
722,sean-quinn
725,karel-vacek
726,kevin-vermaerke
731,yuval-ben-moshe
754,alexis-renard
761,andrea-bartolozzi
764,mattia-bevilacqua
768,davide-gabburo
769,roberto-gonzalez
770,alessandro-iacchi
772,umberto-marengo
782,ruben-mario-acosta
788,filippo-fiorelli
790,masahiro-ishigami
792,keigo-kusaba
794,giovanni-lonardi
798,alejandro-osorio-carbajal
805,pier-andre-cote
820,lucas-eriksson
821,krister-hagen
823,tobias-kongstad
824,andreas-kron
827,mathias-norsgaard
829,andreas-stokbro
830,torkil-veyhe
831,emil-vinjebo
833,rasmus-bogh-wallin
845,justin-timmermans
868,aaron-van-poucke
873,thimo-willems
885,maxime-jarnet
907,peter-kusztor
910,samuel-munday
914,ulugbek-saidov
915,enzo-bernard
922,valentin-ferron
943,alan-boileau
967,raul-alarcon
968,samuel-caldeira
969,francisco-campos
970,antonio-carvalho
972,jose-ferreira
973,cesar-fonte
974,jorge-magalhaes
975,daniel-mestre
977,edgar-pinto
979,joao-rodrigues
980,angel-sanchez-rebollido
982,rui-vinhas
983,jonas-castrique
985,laurens-huys
992,aksel-nommela
993,mathijs-paasschens
994,tom-paquot
1001,luc-wirtgen
1005,cedric-beullens
1011,theo-delacroix
1022,trond-trondsen
