,rider_url
296,peter-velits
297,julien-vermote
298,michael-albasini
299,fumiyuki-beppu
300,sam-bewley
301,jack-bobridge
302,simon-clarke
303,baden-cooke
304,allan-davis
305,julian-dean
306,mitchell-docker
307,luke-durbridge
308,simon-gerrans
309,matthew-goss
310,michael-hepburn
311,leigh-howard
312,daryl-impey
313,jens-keukeleire
314,aidis-kruopis
315,brett-lancaster
316,sebastian-langeveld
317,robbie-mcewen
318,christian-meier
319,travis-meyer
320,cameron-meyer
321,jens-mouris
322,stuart-o-grady
323,wesley-sulzberger
324,daniel-teklehaimanot
325,svein-tuft
326,tomas-vaitkus
327,pieter-weening
328,matthew-wilson
329,carlos-barredo
330,jetse-bol
331,lars-boom
332,theo-bos
333,matti-breschel
334,graeme-brown
335,stef-clement
336,rick-flens
337,juan-manuel-garate
338,robert-gesink
339,marc-goos
340,wilco-kelderman
341,steven-kruijswijk
342,tom-leezer
343,paul-martens
344,michael-matthews
345,bauke-mollema
346,grischa-niermann
347,daan-olivier
348,mark-renshaw
349,luis-leon-sanchez
350,tom-jelte-slagter
351,bram-tankink
352,laurens-ten-dam
353,maarten-tjallingii
354,jos-van-emden
355,dennis-van-winden
356,coen-vermeltfoort
357,maarten-wynants
358,jan-bakelants
359,daniele-bennati
360,george-bennett
361,matthew-busche
362,fabian-cancellara
363,laurent-didier
364,jakob-fuglsang
365,tony-gallopin
366,linus-gerdemann
367,ben-hermans
368,chris-horner
369,markel-irizar
370,benjamin-king-1
371,andreas-kloden
372,tiago-machado
373,maxime-monfort
374,giacomo-nizzolo
375,nelson-oliveira
376,yaroslav-popovych
377,joost-posthuma
378,gregory-rast
379,thomas-rohregger
380,hayden-roulston
381,andy-schleck
382,frank-schleck
383,jesse-sergent
384,jens-voigt
385,robert-wagner
386,oliver-zaugg
387,haimar-zubeldia
388,davide-appollonio
389,michael-barry
390,edvald-boasson-hagen
391,mark-cavendish
392,alex-dowsett
393,bernhard-eisel
394,juan-antonio-flecha
395,christopher-froome
396,mathew-hayman
397,sergio-luis-henao
398,jeremy-hunt
399,peter-kennaugh
400,christian-knees
401,thomas-lofkvist
402,davide-martinelli
403,lars-petter-nordhaug
404,danny-pate
405,richie-porte
406,salvatore-puccio
407,michael-rogers
408,luke-rowe
409,kanstantsin-siutsou
410,ian-stannard
411,chris-sutton
412,ben-swift
