,Stage_Name,Date,Stage_Type,Start,Finish,Race_ID,Stage#,url,Length
0,Milano-Sanremo 2010,2010-03-20,RR,Milano,San Remo,0,0,race/milano-sanremo/2010,298.0
1,Gent - Wevelgem 2010,2010-03-28,RR,Deinze,Wevelgem,1,0,race/gent-wevelgem/2010,201.0
2,Vuelta Ciclista al Pais Vasco 2010  Stage 1,2010-04-05,RR,Zierbena,Zierbena,2,1,race/itzulia-basque-country/2010/stage-1,152.0
3,Vuelta Ciclista al Pais Vasco 2010  Stage 2,2010-04-06,RR,Zierbena,Viana,2,2,race/itzulia-basque-country/2010/stage-2,217.0
4,Vuelta Ciclista al Pais Vasco 2010  Stage 3,2010-04-07,RR,Viana,Amurrio,2,3,race/itzulia-basque-country/2010/stage-3,187.0
5,Vuelta Ciclista al Pais Vasco 2010  Stage 4,2010-04-08,RR,Murgia,Santuario de Arrate,2,4,race/itzulia-basque-country/2010/stage-4,160.0
6,Vuelta Ciclista al Pais Vasco 2010  Stage 5,2010-04-09,RR,Eibar,Orio,2,5,race/itzulia-basque-country/2010/stage-5,170.0
7,Vuelta Ciclista al Pais Vasco 2010  Stage 6 (ITT),2010-04-10,ITT,Orio,Orio,2,6,race/itzulia-basque-country/2010/stage-6,22.0
8,Tour de Romandie 2010  Prologue,2010-04-27,Prologue,Porrentruy,Porrentruy,3,1,race/tour-de-romandie/2010/prologue,4.3
9,Tour de Romandie 2010  Stage 2,2010-04-28,RR,Porrentruy,Fleurier,3,2,race/tour-de-romandie/2010/stage-2,175.6
10,Tour de Romandie 2010  Stage 3,2010-04-29,RR,Fribourg,Fribourg,3,3,race/tour-de-romandie/2010/stage-3,171.8
11,Tour de Romandie 2010  Stage 4 (ITT),2010-04-30,ITT,Moudon,Moudon,3,4,race/tour-de-romandie/2010/stage-4,23.4
12,Tour de Romandie 2010  Stage 5,2010-05-01,RR,Vevey,Châtel/Vallée d'Abondance,3,5,race/tour-de-romandie/2010/stage-5,157.9
13,Tour de Romandie 2010  Stage 6,2010-05-02,RR,Sion,Sion,3,6,race/tour-de-romandie/2010/stage-6,121.8
14,Critérium du Dauphiné 2010  Prologue,2010-06-06,Prologue,Evian-les-Bains,Evian-les-Bains,4,1,race/dauphine/2010/prologue,6.8
15,Critérium du Dauphiné 2010  Stage 2,2010-06-07,RR,Evian-les-Bains,Saint-Laurent-du-Pont,4,2,race/dauphine/2010/stage-2,191.5
16,Critérium du Dauphiné 2010  Stage 3,2010-06-08,RR,Annonay,Bourg-Saint-Andéol,4,3,race/dauphine/2010/stage-3,177.0
17,Critérium du Dauphiné 2010  Stage 4 (ITT),2010-06-09,ITT,Monteux,Sorgues,4,4,race/dauphine/2010/stage-4,49.0
18,Critérium du Dauphiné 2010  Stage 5,2010-06-10,RR,Saint-Paul-Trois-Châteaux,Risoul,4,5,race/dauphine/2010/stage-5,210.5
19,Critérium du Dauphiné 2010  Stage 6,2010-06-11,RR,Serre-Chevalier,Grenoble,4,6,race/dauphine/2010/stage-6,143.5
20,Critérium du Dauphiné 2010  Stage 7,2010-06-12,RR,Crolles,Alpe d\'Huez,4,7,race/dauphine/2010/stage-7,151.5
21,Critérium du Dauphiné 2010  Stage 8,2010-06-13,RR,Allevard-les-Bains,Sallanches,4,8,race/dauphine/2010/stage-8,148.0
22,Tour de Suisse 2010  Prologue,2010-06-12,Prologue,Lugano,Lugano,5,1,race/tour-de-suisse/2010/prologue,7.6
23,Tour de Suisse 2010  Stage 1,2010-06-13,RR,Ascona,Sierre,5,2,race/tour-de-suisse/2010/stage-1,0.0
24,Tour de Suisse 2010  Stage 2,2010-06-14,RR,Sierre,Schwarzenburg,5,3,race/tour-de-suisse/2010/stage-2,0.0
25,Tour de Suisse 2010  Stage 3,2010-06-15,RR,Schwarzenburg,Wettingen,5,4,race/tour-de-suisse/2010/stage-3,192.2
26,Tour de Suisse 2010  Stage 4,2010-06-16,RR,Wettingen,Frutigen,5,5,race/tour-de-suisse/2010/stage-4,172.5
27,Tour de Suisse 2010  Stage 5,2010-06-17,RR,Meiringen,La Punt,5,6,race/tour-de-suisse/2010/stage-5,0.0
28,Tour de Suisse 2010  Stage 6,2010-06-18,RR,Savognin,Wetzikon,5,7,race/tour-de-suisse/2010/stage-6,204.1
29,Tour de Suisse 2010  Stage 7,2010-06-19,RR,Wetzikon,Liestal,5,8,race/tour-de-suisse/2010/stage-7,173.4
30,Tour de Suisse 2010  Stage 8 (ITT),2010-06-20,ITT,Liestal,Liestal,5,9,race/tour-de-suisse/2010/stage-8,26.9
31,Clasica Ciclista San Sebastian 2010,2010-07-31,RR,San,Sebastian,6,0,race/san-sebastian/2010,234.0
32,Tour de Pologne 2010  Stage 1,2010-08-01,RR,Sochaczew,Warschau,7,1,race/tour-de-pologne/2010/stage-1,175.1
33,Tour de Pologne 2010  Stage 2,2010-08-02,RR,Rawa Mazowiecka,Czestochowa,7,2,race/tour-de-pologne/2010/stage-2,240.0
34,Tour de Pologne 2010  Stage 3,2010-08-03,RR,Sosnowiec,Katowice,7,3,race/tour-de-pologne/2010/stage-3,122.1
35,Tour de Pologne 2010  Stage 4,2010-08-04,RR,Tychy,Cieszyn,7,4,race/tour-de-pologne/2010/stage-4,177.9
36,Tour de Pologne 2010  Stage 5,2010-08-05,RR,Jastrzbie Zdrój,Ustro,7,5,race/tour-de-pologne/2010/stage-5,149.0
37,Tour de Pologne 2010  Stage 6,2010-08-06,RR,Owicim,Bukowina Tatrzaska,7,6,race/tour-de-pologne/2010/stage-6,228.5
38,Tour de Pologne 2010  Stage 7,2010-08-07,RR,Nowy Targ,Kraków,7,7,race/tour-de-pologne/2010/stage-7,163.9
39,Vuelta a España 2010  Stage 1 (TTT),2010-08-28,TTT,Sevilla,Sevilla,8,1,race/vuelta-a-espana/2010/stage-1,13.0
40,Vuelta a España 2010  Stage 2,2010-08-29,RR,Alcalá de Guadaíra,Marbella,8,2,race/vuelta-a-espana/2010/stage-2,173.0
41,Vuelta a España 2010  Stage 3,2010-08-30,RR,Marbella,Málaga,8,3,race/vuelta-a-espana/2010/stage-3,156.0
42,Vuelta a España 2010  Stage 4,2010-08-31,RR,Málaga,Valdepeñas de Jaén,8,4,race/vuelta-a-espana/2010/stage-4,177.0
43,Vuelta a España 2010  Stage 5,2010-09-01,RR,Guadix,Lorca,8,5,race/vuelta-a-espana/2010/stage-5,194.0
44,Vuelta a España 2010  Stage 6,2010-09-02,RR,Caravaca de Cruz,Murcia,8,6,race/vuelta-a-espana/2010/stage-6,144.0
45,Vuelta a España 2010  Stage 7,2010-09-03,RR,Murcia,Orihuela,8,7,race/vuelta-a-espana/2010/stage-7,187.1
46,Vuelta a España 2010  Stage 8,2010-09-04,RR,Villena,Xorret del Catí,8,8,race/vuelta-a-espana/2010/stage-8,188.0
47,Vuelta a España 2010  Stage 9,2010-09-05,RR,Calpe,Alcoi,8,9,race/vuelta-a-espana/2010/stage-9,187.0
48,Vuelta a España 2010  Stage 10,2010-09-07,RR,Tarragona,Vilanova i la Geltrú,8,10,race/vuelta-a-espana/2010/stage-10,173.7
49,Vuelta a España 2010  Stage 11,2010-09-08,RR,Vilanova i la Geltrú,Andorra,8,11,race/vuelta-a-espana/2010/stage-11,208.0
50,Vuelta a España 2010  Stage 12,2010-09-09,RR,Andorra la Vella,Lleida,8,12,race/vuelta-a-espana/2010/stage-12,196.0
51,Vuelta a España 2010  Stage 13,2010-09-10,RR,Rincón de Soto,Burgos,8,13,race/vuelta-a-espana/2010/stage-13,193.7
52,Vuelta a España 2010  Stage 14,2010-09-11,RR,Burgos,Peña Cabarga,8,14,race/vuelta-a-espana/2010/stage-14,178.8
53,Vuelta a España 2010  Stage 15,2010-09-12,RR,Solares,Lagos de Covadonga,8,15,race/vuelta-a-espana/2010/stage-15,170.0
54,Vuelta a España 2010  Stage 16,2010-09-13,RR,Gijón,Alto de Cotobello,8,16,race/vuelta-a-espana/2010/stage-16,181.4
55,Vuelta a España 2010  Stage 17 (ITT),2010-09-15,ITT,Peñafiel,Peñafiel,8,17,race/vuelta-a-espana/2010/stage-17,46.0
56,Vuelta a España 2010  Stage 18,2010-09-16,RR,Valladolid,Salamanca,8,18,race/vuelta-a-espana/2010/stage-18,148.9
57,Vuelta a España 2010  Stage 19,2010-09-17,RR,Piedrahita,Toledo,8,19,race/vuelta-a-espana/2010/stage-19,200.0
58,Vuelta a España 2010  Stage 20,2010-09-18,RR,San Martín de Valdeiglesias,Bola del Mundo,8,20,race/vuelta-a-espana/2010/stage-20,168.8
59,Vuelta a España 2010  Stage 21,2010-09-19,RR,San Sebastián de los Reyes,Madrid,8,21,race/vuelta-a-espana/2010/stage-21,85.0
60,Grand Prix Cycliste de Montréal 2010,2010-09-12,RR,Montréal,Montréal,9,0,race/gp-montreal/2010,193.6
61,World Championships MJ - ITT 2010,2010-08-06,RR,Offida,Offida,0,0,race/uci-world-championships-itt-mj/2010,28.5
62,World Championships WE - ITT 2010,2010-09-29,RR,Start,Finish,1,0,race/world-championship-itt-we/2010,22.7
63,World Championships - ITT 2010,2010-09-30,RR,Geelong,Geelong,2,0,race/world-championship-itt/2010,45.4
64,World Championships - Road Race 2010,2010-10-03,RR,Geelong,Geelong,3,0,race/world-championship/2010,262.7
65,National Championships South Africa - Road Race 2010,2010-02-19,RR,Start,Finish,0,0,race/nc-south-africa/2010,0.0
66,Tour Of Libya 2010  Stage 1,2010-03-13,RR,Tripoli,Zouara,1,1,race/tour-of-libya/2010/stage-1,110.0
67,Tour Of Libya 2010  Stage 2,2010-03-14,RR,Al Ajaylat,Sbrata,1,2,race/tour-of-libya/2010/stage-2,158.0
68,Tour Of Libya 2010  Stage 3,2010-03-15,RR,Sorman,Jadu,1,3,race/tour-of-libya/2010/stage-3,120.0
