,Stage_Name,Date,Stage_Type,Start,Finish,Race_ID,Stage#,url,Length
0,Tour Down Under 2011  Stage 1,2011-01-18,RR,Mawson Lakes,Angaston,0,1,race/tour-down-under/2011/stage-1,138.0
1,Tour Down Under 2011  Stage 2,2011-01-19,RR,Tailem Bend,Mannum,0,2,race/tour-down-under/2011/stage-2,146.0
2,Tour Down Under 2011  Stage 3,2011-01-20,RR,Unley,Stirling,0,3,race/tour-down-under/2011/stage-3,129.0
3,Tour Down Under 2011  Stage 4,2011-01-21,RR,Norwood,Strathalbyn,0,4,race/tour-down-under/2011/stage-4,124.0
4,Tour Down Under 2011  Stage 5,2011-01-22,RR,McLaren Vale,Willunga,0,5,race/tour-down-under/2011/stage-5,131.0
5,Tour Down Under 2011  Stage 6,2011-01-23,RR,Adelaide,Adelaide,0,6,race/tour-down-under/2011/stage-6,90.0
6,Paris - Nice 2011  Stage 1,2011-03-06,RR,Houdan,Houdan,1,1,race/paris-nice/2011/stage-1,154.5
7,Paris - Nice 2011  Stage 2,2011-03-07,RR,Montfort l’Amaury,Amilly,1,2,race/paris-nice/2011/stage-2,198.5
8,Paris - Nice 2011  Stage 3,2011-03-08,RR,Cosne Cours sur Loire,Nuits Saint Georges,1,3,race/paris-nice/2011/stage-3,202.0
9,Paris - Nice 2011  Stage 4,2011-03-09,RR,Crêches-sur-Saône,Belleville,1,4,race/paris-nice/2011/stage-4,191.0
10,Paris - Nice 2011  Stage 5,2011-03-10,RR,Saint-Symphorien-sur-Coise,Vernoux-en-Vivarais,1,5,race/paris-nice/2011/stage-5,194.0
11,Paris - Nice 2011  Stage 6 (ITT),2011-03-11,ITT,Rognes,Aix-en-Provence,1,6,race/paris-nice/2011/stage-6,27.0
12,Paris - Nice 2011  Stage 7,2011-03-12,RR,Brignoles,Biot,1,7,race/paris-nice/2011/stage-7,215.5
13,Paris - Nice 2011  Stage 8,2011-03-13,RR,Nice,Nice,1,8,race/paris-nice/2011/stage-8,124.0
14,Tirreno-Adriatico 2011  Stage 1 (TTT),2011-03-09,TTT,Marina di Carrara,Marina di Carrara,2,1,race/tirreno-adriatico/2011/stage-1,16.8
15,Tirreno-Adriatico 2011  Stage 2,2011-03-10,RR,Carrara,Indicatore,2,2,race/tirreno-adriatico/2011/stage-2,202.0
16,Tirreno-Adriatico 2011  Stage 3,2011-03-11,RR,Terranuova Bracciolini,Perugia,2,3,race/tirreno-adriatico/2011/stage-3,189.0
17,Tirreno-Adriatico 2011  Stage 4,2011-03-12,RR,Narni,Chieti,2,4,race/tirreno-adriatico/2011/stage-4,240.0
18,Tirreno-Adriatico 2011  Stage 5,2011-03-13,RR,Chieti,Castelraimondo,2,5,race/tirreno-adriatico/2011/stage-5,240.0
19,Tirreno-Adriatico 2011  Stage 6,2011-03-14,RR,Uscita,Maccerata,2,6,race/tirreno-adriatico/2011/stage-6,178.0
20,Tirreno-Adriatico 2011  Stage 7 (ITT),2011-03-15,ITT,San Benedetto,San Benedetto,2,7,race/tirreno-adriatico/2011/stage-7,9.3
21,Milano-Sanremo 2011,2011-03-19,RR,Milano,Sanremo,3,0,race/milano-sanremo/2011,298.0
22,Volta Ciclista a Catalunya 2011  Stage 1,2011-03-21,RR,Lloret de Mar,Lloret de Mar,4,1,race/volta-a-catalunya/2011/stage-1,166.9
23,Volta Ciclista a Catalunya 2011  Stage 2,2011-03-22,RR,Santa Coloma de Farners,Banyoles,4,2,race/volta-a-catalunya/2011/stage-2,169.3
24,Volta Ciclista a Catalunya 2011  Stage 3,2011-03-23,RR,La Vall d’en Bas (Sant Esteve d’en Bas),Andorra (Vallnord),4,3,race/volta-a-catalunya/2011/stage-3,189.4
25,Volta Ciclista a Catalunya 2011  Stage 4,2011-03-24,RR,La Seu d’Urgell,El Vendrell,4,4,race/volta-a-catalunya/2011/stage-4,195.0
26,Volta Ciclista a Catalunya 2011  Stage 5,2011-03-25,RR,El Vendrell,Tarragona,4,5,race/volta-a-catalunya/2011/stage-5,205.8
27,Volta Ciclista a Catalunya 2011  Stage 6,2011-03-26,RR,Tarragona,Mollet del Vallès,4,6,race/volta-a-catalunya/2011/stage-6,195.0
28,Volta Ciclista a Catalunya 2011  Stage 7,2011-03-27,RR,Parets del Vallès,Barcelona (Pla de Palau),4,7,race/volta-a-catalunya/2011/stage-7,124.5
29,Gent - Wevelgem 2011,2011-03-27,RR,Deinze,Wevelgem,5,0,race/gent-wevelgem/2011,210.0
30,Ronde van Vlaanderen / Tour des Flandres 2011,2011-04-03,RR,Brugge,Ninove,6,0,race/ronde-van-vlaanderen/2011,258.0
31,Vuelta Ciclista al Pais Vasco 2011  Stage 1,2011-04-04,RR,Zumarraga,Zumarraga,7,1,race/itzulia-basque-country/2011/stage-1,149.5
32,Vuelta Ciclista al Pais Vasco 2011  Stage 2,2011-04-05,RR,Zumarraga,Lekunberri,7,2,race/itzulia-basque-country/2011/stage-2,167.0
33,Vuelta Ciclista al Pais Vasco 2011  Stage 3,2011-04-06,RR,Villatuerta,Murgia,7,3,race/itzulia-basque-country/2011/stage-3,177.0
34,Vuelta Ciclista al Pais Vasco 2011  Stage 4,2011-04-07,RR,Amurrio,Eibar (Arrate),7,4,race/itzulia-basque-country/2011/stage-4,177.0
35,Vuelta Ciclista al Pais Vasco 2011  Stage 5,2011-04-08,RR,Eibar,Zalla,7,5,race/itzulia-basque-country/2011/stage-5,179.0
36,Vuelta Ciclista al Pais Vasco 2011  Stage 6 (ITT),2011-04-09,ITT,Zalla,Zalla,7,6,race/itzulia-basque-country/2011/stage-6,24.0
37,Paris - Roubaix 2011,2011-04-10,RR,Compiegne,Roubaix,8,0,race/paris-roubaix/2011,258.0
38,Amstel Gold Race 2011,2011-04-17,RR,Maastricht,Valkenburg,9,0,race/amstel-gold-race/2011,261.0
39,La Flèche Wallonne 2011,2011-04-20,RR,Charleroi,Huy,10,0,race/la-fleche-wallone/2011,201.0
40,Liège - Bastogne - Liège 2011,2011-04-24,RR,Start,Finish,11,0,race/liege-bastogne-liege/2011,0.0
41,Tour de Romandie 2011  Prologue,2011-04-26,Prologue,Martigny,Martigny,12,1,race/tour-de-romandie/2011/prologue,3.5
42,Tour de Romandie 2011  Stage 2,2011-04-27,RR,Martigny,Leysin,12,2,race/tour-de-romandie/2011/stage-2,171.5
43,Tour de Romandie 2011  Stage 3,2011-04-28,RR,Romont,Romont,12,3,race/tour-de-romandie/2011/stage-3,168.3
44,Tour de Romandie 2011  Stage 4,2011-04-29,RR,Thierrens,Neuchâtel,12,4,race/tour-de-romandie/2011/stage-4,166.5
45,Tour de Romandie 2011  Stage 5 (ITT),2011-04-30,ITT,Aubonne-Signal-de-Bougy,Aubonne-Signal-de-Bougy,12,5,race/tour-de-romandie/2011/stage-5,20.5
46,Tour de Romandie 2011  Stage 6,2011-05-01,RR,Champagne,Genève,12,6,race/tour-de-romandie/2011/stage-6,164.6
47,Giro d'Italia 2011  Stage 1 (TTT),2011-05-07,Prologue,Venaria Reale,Torino,13,1,race/giro-d-italia/2011/prologue,19.3
48,Giro d'Italia 2011  Stage 2,2011-05-08,RR,Alba,Parma,13,2,race/giro-d-italia/2011/stage-1,244.0
49,Giro d'Italia 2011  Stage 3,2011-05-09,RR,Reggio Emilia,Rapallo,13,3,race/giro-d-italia/2011/stage-2,173.0
50,Giro d'Italia 2011  Stage 4,2011-05-10,RR,Genova Quarto dei Mille,Livorno,13,4,race/giro-d-italia/2011/stage-3,216.0
51,Giro d'Italia 2011  Stage 5,2011-05-11,RR,Piombino,Orvieto,13,5,race/giro-d-italia/2011/stage-4,191.0
