,Category,Date,Finish,Length,Number_stages,Race_ID,Race_Name,Stage#,Stage_Name,Stage_Type,Start,url
393,Nationals.C2,,,,1.0,,National Championships Poland - Road Race 2013 ,,,,,
394,Nationals.C3,,,,1.0,,National Championships Portugal - Road Race 2013 ,,,,,
395,Nationals.C3,,,,1.0,,National Championships Romania - Road Race 2013 ,,,,,
396,Nationals.C1,,,,1.0,,National Championships Russia - Road Race 2013 ,,,,,
397,Nationals.C3,,,,1.0,,National Championships Slovakia - Road Race 2013 ,,,,,
398,Nationals.C3,,,,1.0,,National Championships Slovenia - Road Race 2013 ,,,,,
399,Nationals.C3,,,,1.0,,National Championships Spain - Road Race 2013 ,,,,,
400,Nationals.C3,,,,1.0,,National Championships Sweden - Road Race 2013 ,,,,,
401,Nationals.C3,,,,1.0,,National Championships Switzerland - Road Race 2013 ,,,,,
402,Nationals.C3,,,,1.0,,National Championships Ukraine - Road Race 2013 ,,,,,
403,Nationals.C3.TT,,,,1.0,,National Championships Bulgaria - ITT 2013 ,,,,,
404,2.1,,,,4.0,,Course Cycliste de Solidarnosc et des Champions Olympiques 2013 ,,,,,
405,1.2,,,,1.0,,Internationale Wielertrofee Jong Maar Moedig I.W.T. 2013 ,,,,,
406,Nationals.C3.TT,,,,1.0,,National Championships Finland - ITT 2013 ,,,,,
407,-,,,,1.0,,National Championships Finland U23 - ITT 2013 ,,,,,
408,1.2,,,,1.0,,Omloop Het Nieuwsblad Beloften/Circuit Het Nieuwsblad Espoirs 2013 ,,,,,
409,2.HC,,,,8.0,,Int. Österreich-Rundfahrt-Tour of Austria 2013 ,,,,,
410,Nationals.C3,,,,1.0,,National Championships Bosnia and Herzegovina - Road Race 2013 ,,,,,
411,Nationals.C3,,,,1.0,,National Championships Finland - Road Race 2013 ,,,,,
412,Nationals.C3,,,,1.0,,National Championships Macedonia - Road Race 2013 ,,,,,
413,2.2/U23,,,,7.0,,Romanian Cycling Tour 2013 ,,,,,
414,2.2/U23,,,,2.0,,Vuelta a la Comunidad de Madrid Sub 23 2013 ,,,,,
415,1.2,,,,1.0,,Giro del Medio Brenta 2013 ,,,,,
416,1.2,,,,1.0,,GP de Pont à Marcq - La Ronde Pévèloise 2013 ,,,,,
417,2.2/U23,,,,6.0,,Giro Ciclistico della Valle d\'Aosta Mont Blanc 2013 ,,,,,
418,2.1,,,,5.0,,Sibiu Cycling Tour 2013 ,,,,,
419,2.2/U23,,,,4.0,,Czech Cycling Tour 2013 ,,,,,
420,1.2,,,,1.0,,GP van de stad Geel 2013 ,,,,,
421,1.1,,,,1.0,,Giro dell'Appennino 2013 ,,,,,
422,E-CC.TT,,,,1.0,,European Championship ITT U23 2013 ,,,,,
423,2.2/U23,,,,3.0,,GP Internacional Torres Vedras - Trofeu Joaquim Agostinho 2013 ,,,,,
424,2.HC,,,,5.0,,Tour de Wallonie 2013 ,,,,,
425,1.2,,,,1.0,,Central European Tour Miskolc GP 2013 ,,,,,
426,1.2,,,,1.0,,Central European Tour Budapest GP 2013 ,,,,,
427,E-CC,,,,1.0,,European Championships U23 - Road Race 2013 ,,,,,
428,2.2/U23,,,,6.0,,Dookola Mazowsza 2013 ,,,,,
429,2.2/U23,,,,6.0,,Tour Alsace 2013 ,,,,,
430,1.1,,,,1.0,,Prueba Villafranca-Ordiziako Klasika 2013 ,,,,,
431,1.2,,,,1.0,,GP Kranj 2013 ,,,,,
432,2.2/U23,,,,4.0,,Kreiz Breizh Elites 2013 ,,,,,
433,1.1,,,,1.0,,La Poly Normande 2013 ,,,,,
434,Nationals.C3,,,,1.0,,National Championships Iceland - Road Race 2013 ,,,,,
435,1.1,,,,1.0,,Trofeo Matteotti 2013 ,,,,,
436,1.2,,,,1.0,,Grand Prix de la ville de Pérenchies 2013 ,,,,,
437,Nationals.C3,,,,1.0,,National Championships Albania - Road Race 2013 ,,,,,
438,2.HC,,,,6.0,,Post Danmark Rundt - Tour of Denmark 2013 ,,,,,
439,1.1,,,,1.0,,Circuito de Getxo 'Memorial Ricardo Otxoa' 2013 ,,,,,
440,2.2/U23,,,,3.0,,Vuelta Ciclista a León 2013 ,,,,,
441,2.2/U23,,,,11.0,,Tour Cycliste International de la Guadeloupe 2013 ,,,,,
442,1.1,,,,1.0,,Ride London Classic 2013 ,,,,,
443,1.2,,,,1.0,,Antwerpse Havenpijl 2013 ,,,,,
444,1.2,,,,1.0,,Trofeo Internazionale Bastianelli 2013 ,,,,,
445,2.HC,,,,5.0,,Vuelta a Burgos 2013 ,,,,,
446,2.1,,,,11.0,,Volta a Portugal em Bicicleta Liberty Seguros 2013 ,,,,,
447,2.1,,,,4.0,,Arctic Race of Norway 2013 ,,,,,
448,2.2/U23,,,,4.0,,Tour of Szeklerland 2013 ,,,,,
449,2.1,,,,5.0,,Tour de l\'Ain 2013 ,,,,,
450,1.2,,,,1.0,,Memorial Henryka Lasaka 2013 ,,,,,
451,Nationals.C3.TT,,,,1.0,,National Championships Belgium - ITT 2013 ,,,,,
452,1.2,,,,1.0,,Gran Premio Sportivi di Poggiana-Trofeo Bonin Costruzioni-Gran Premio Pasta Zara 2013 ,,,,,
453,-,,,,1.0,,National Championships Belgium U23 - ITT 2013 ,,,,,
454,1.2,,,,1.0,,Puchar Uzdrowisk Karpackich 2013 ,,,,,
455,2.1,,,,4.0,,Tour des Fjords 2013 ,,,,,
456,1.2,,,,1.0,,GP Capodarco - Comunità di Capodarco 2013 ,,,,,
457,1.2,,,,1.0,,Puchar Ministra Obrony Narodowej 2013 ,,,,,
458,2.2/U23,,,,6.0,,Baltic Chain Tour 2013 ,,,,,
459,1.1,,,,1.0,,GP Stad Zottegem 2013 ,,,,,
460,2.1,,,,4.0,,Tour du Limousin 2013 ,,,,,
461,1.2,,,,1.0,,Grand Prix des Marbriers 2013 ,,,,,
462,1.1,,,,1.0,,Coppa Agostoni - Giro delle Brianze 2013 ,,,,,
463,1.1,,,,1.0,,Druivenkoers - Overijse 2013 ,,,,,
464,1.1,,,,1.0,,GP Banca di Legnano - Coppa Bernocchi 2013 ,,,,,
465,-,,,,1.0,,National Championships France U23 - ITT 2013 ,,,,,
466,1.HC,,,,1.0,,Tre Valli Varesine 2013 ,,,,,
467,1.1,,,,1.0,,Dutch Food Valley Classic 2013 ,,,,,
468,1.1,,,,1.0,,Châteauroux Classic de l\'Indre Trophée Fenioux 2013 ,,,,,
469,-,,,,1.0,,National Championships Belgium U23 - Road Race 2013 ,,,,,
470,-,,,,1.0,,National Championships France U23 - Road Race 2013 ,,,,,
471,2.1,,,,5.0,,Tour du Poitou Charentes 2013 ,,,,,
472,2.1,,,,1.0,,World Ports Classic 2013 ,,,,,
473,1.1,,,,1.0,,Memorial Marco Pantani 2013 ,,,,,
474,1.1,,,,1.0,,Schaal Sels 2013 ,,,,,
475,1.2,,,,1.0,,Croatia - Slovenia 2013 ,,,,,
476,1.2,,,,1.0,,Rabo Ronde van Midden-Nederland 2013 ,,,,,
477,2.2/U23,,,,6.0,,Tour of Bulgaria 2013 ,,,,,
478,2.1,,,,3.0,,"Settimana Ciclistica Lombarda by Bergamasca, Memorial Adriano Rodoni 2013 ",,,,,
479,2.2/U23,,,,4.0,,Okolo Jižních Čech 2013 ,,,,,
480,1.HC,,,,1.0,,Brussels Cycling Classic 2013 ,,,,,
481,1.HC,,,,1.0,,GP de Fourmies / La Voix du Nord 2013 ,,,,,
482,1.2,,,,1.0,,Kernen Omloop Echt-Susteren 2013 ,,,,,
483,1.2,,,,1.0,,De Kustpijl 2013 ,,,,,
484,1.2,,,,1.0,,Tour du Jura 2013 ,,,,,
485,1.1,,,,1.0,,Grote Prijs Jef Scherens - Rondom Leuven 2013 ,,,,,
486,1.1,,,,1.0,,Tour du Doubs - Conseil Général 2013 ,,,,,
487,2.1,,,,8.0,,Tour of Britain 2013 ,,,,,
488,1.2,,,,1.0,,Chrono Champenois Masculin International 2013 ,,,,,
489,1.2,,,,1.0,,Rabo Baronie Breda Classic 2013 ,,,,,
490,1.1,,,,1.0,,Grand Prix de Wallonie 2013 ,,,,,
491,1.1,,,,1.0,,Grand Prix de la Somme « Conseil Général 80» 2013 ,,,,,
492,1.1,,,,1.0,,Kampioenschap van Vlaanderen 2013 ,,,,,
493,1.1,,,,1.0,, GP Costa Degli Etruschi 2013 ,,,,,
494,1.1,,,,1.0,,GP Impanis - Van Petegem 2013 ,,,,,
495,1.2,,,,1.0,,Tour Bohemia 2013 ,,,,,
496,1.1,,,,1.0,,GP Industria & Commercio di Prato 2013 ,,,,,
497,1.1,,,,1.0,,Grand Prix d\'Isbergues - Pas de Calais 2013 ,,,,,
498,UCI.WO.u23.TT,,,,1.0,,World Championships U23 - ITT 2013 ,,,,,
499,1.2,,,,1.0,,Ruota d'Oro - GP Festa del Perdono 2013 ,,,,,
500,1.1,,,,1.0,,Omloop van het Houtland Lichtervelde 2013 ,,,,,
501,2.2/U23,,,,2.0,,Tour du Gévaudan Languedoc-Roussillon 2013 ,,,,,
502,1.1,,,,1.0,,Duo Normand 2013 ,,,,,
503,1.2,,,,1.0,,Gooikse Pijl 2013 ,,,,,
504,1.HC,,,,1.0,,Milano-Torino 2013 ,,,,,
505,1.1,,,,1.0,,Sparkassen Münsterland Giro 2013 ,,,,,
506,2.1,,,,4.0,,Tour de l\'Eurométropole 2013 ,,,,,
507,1.2,,,,1.0,,Piccolo Giro di Lombardia 2013 ,,,,,
508,1.HC,,,,1.0,,Tour de Vendée 2013 ,,,,,
509,1.1,,,,1.0,,Binche-Chimay-Binche / Mémorial Frank Vandenbroucke 2013 ,,,,,
510,1.1,,,,1.0,,Gran Premio Città di Peccioli - Coppa Sabatini 2013 ,,,,,
511,1.1,,,,1.0,,Paris-Bourges 2013 ,,,,,
512,1.HC,,,,1.0,,Giro dell'Emilia 2013 ,,,,,
513,1.HC,,,,1.0,,Paris - Tours 2013 ,,,,,
514,1.1,,,,1.0,,Gran Premio Bruno Beghelli 2013 ,,,,,
515,1.2,,,,1.0,,Paris-Tours Espoirs 2013 ,,,,,
516,1.1,,,,1.0,,Nationale Sluitingprijs - Putte - Kapellen 2013 ,,,,,
517,1.1,,,,1.0,,Chrono des Nations 2013 ,,,,,
518,1.2,,,,1.0,,Chrono des Nations U23 2013 ,,,,,
519,Nationals.C3.TT,,,,1.0,,National Championships Australia - ITT 2013 ,,,,,
520,-,,,,1.0,,National Championships Australia U23 - ITT 2013 ,,,,,
521,Nationals.C3.TT,,,,1.0,,National Championships New Zealand - ITT 2013 ,,,,,
522,-,,,,1.0,,National Championships New Zealand - ITT 2013 ,,,,,
523,-,,,,1.0,,National Championships Australia - Road Race 2013 ,,,,,
524,Nationals.C3,,,,1.0,,National Championships Australia - Road Race 2013 ,,,,,
525,Nationals.C3,,,,1.0,,National Championships New Zealand - Road Race 2013 ,,,,,
526,2.2/U23,,,,5.0,,New Zealand Cycle Classic 2013 ,,,,,
527,UCI.Cont.Ch.TT,,,,1.0,,Oceania Continental Championships - ITT 2013 ,,,,,
528,E-CC.TT,,,,1.0,,Oceania Cycling Championships - c.l.m. ind. / ind. TT - MU 2013 ,,,,,
529,None,,,,1.0,,Oceania Cycling Championships - en ligne / ind. road race - ME 2013 ,,,,,
530,1.2,,,,1.0,,Copa América de Ciclismo 2013 ,,,,,
531,2.2/U23,,,,10.0,,Vuelta al Tachira en Bicicleta 2013 ,,,,,
532,-,,,,1.0,,National Championships Uruguay - ITT 2013 ,,,,,
533,Nationals.C3,,,,1.0,,National Championships Uruguay - Road Race 2013 ,,,,,
534,2.1,,,,7.0,,Tour de San Luis 2013 ,,,,,
535,-,,,,1.0,,National Championships Argentina - ITT 2013 ,,,,,
536,Nationals.C3,,,,1.0,,National Championships Argentina - Road Race 2013 ,,,,,
537,Nationals.C3,,,,1.0,,National Championships Colombia - ITT 2013 ,,,,,
538,-,,,,1.0,,National Championships Colombia U23 - ITT 2013 ,,,,,
539,Nationals.C3,,,,1.0,,National Championships Colombia 2013 ,,,,,
540,2.2/U23,,,,8.0,,Vuelta a Guatemala 2013 ,,,,,
541,2.2/U23,,,,5.0,,Tour of the Gila 2013 ,,,,,
542,E-CC.TT,,,,1.0,,Champ. Panaméricain c.l.m. ind. / Panamerican Champ. ind. TT - MU 2013 ,,,,,
543,UCI.Cont.Ch.TT,,,,1.0,,Champ. Panaméricain c.l.m. ind. / Panamerican Champ. ind. TT 2013 ,,,,,
544,E-CC,,,,1.0,,Pan American Championships - Road Race U23 2013 ,,,,,
545,1.HC,,,,1.0,,Pan American Championships - Road Race 2013 ,,,,,
546,2.HC,,,,8.0,,Amgen Tour of California 2013 ,,,,,
547,F-NC.TT.2,,,,1.0,,National Championships United States WE - ITT 2013 ,,,,,
548,F-NC.2,,,,1.0,,National Championships United States WE - Road Race 2013 ,,,,,
549,1.2,,,,1.0,,The Philadelphia Cycling Classic 2013 ,,,,,
550,-,,,,1.0,,National Championships Bolivia - ITT 2013 ,,,,,
551,-,,,,1.0,,National Championships Bolivia - Road Race 2013 ,,,,,
552,Nationals.C3,,,,1.0,,National Championships Puerto Rico - Road Race 2013 ,,,,,
553,2.2/U23,,,,14.0,,Vuelta a Colombia 2013 ,,,,,
554,2.2/U23,,,,6.0,,Tour de Beauce 2013 ,,,,,
555,Nationals.C3.TT,,,,1.0,,National Championships Costa Rica - ITT 2013 ,,,,,
556,-,,,,1.0,,National Championships Belize - ITT 2013 ,,,,,
557,-,,,,1.0,,National Championships Bermuda - Road Race 2013 ,,,,,
558,Nationals.C3.TT,,,,1.0,,National Championships Canada - ITT 2013 ,,,,,
559,Nationals.C3,,,,1.0,,National Championships Canada - Road Race 2013 ,,,,,
560,-,,,,1.0,,National Championships Curaçao - ITT 2013 ,,,,,
561,Nationals.C3.TT,,,,1.0,,National Championships Mexico - ITT 2013 ,,,,,
562,Nationals.C3.TT,,,,1.0,,National Championships Venezuela - ITT 2013 ,,,,,
563,Nationals.C3,,,,1.0,,National Championships Belize - Road Race 2013 ,,,,,
564,Nationals.C3,,,,1.0,,National Championships Costa Rica - Road Race 2013 ,,,,,
565,Nationals.C3.TT,,,,1.0,,National Championships Guatemala - ITT 2013 ,,,,,
566,Nationals.C3,,,,1.0,,National Championships Mexico - Road Race 2013 ,,,,,
567,Nationals.C3,,,,1.0,,National Championships Venezuela - Road Race 2013 ,,,,,
568,Nationals.C3.TT,,,,1.0,,National Championships Panama - ITT 2013 ,,,,,
569,Nationals.C3.TT,,,,1.0,,National Championships Brazil - ITT 2013 ,,,,,
570,Nationals.C3.TT,,,,1.0,,National Championships El Salvador - ITT 2013 ,,,,,
571,Nationals.C3,,,,1.0,,National Championships Brazil - Road Race 2013 ,,,,,
572,Nationals.C3,,,,1.0,,National Championships El Salvador - Road Race 2013 ,,,,,
573,-,,,,1.0,,National Championships Guatemala - Road Race 2013 ,,,,,
574,Nationals.C3,,,,1.0,,National Championships Panama - Road Race 2013 ,,,,,
575,-,,,,1.0,,National Championships United States U23 - Road Race 2013 ,,,,,
576,-,,,,1.0,,National Championships United States U23 - ITT 2013 ,,,,,
577,1.2,,,,1.0,,Tour de Delta 2013 ,,,,,
578,2.2/U23,,,,10.0,,Vuelta Ciclista a Venezuela 2013 ,,,,,
579,2.1,,,,3.0,,Tour of Elk Grove 2013 ,,,,,
580,2.1,,,,6.0,,The Larry H.Miller Tour of Utah 2013 ,,,,,
581,2.2/U23,,,,6.0,,Ruta del Centro	 2013 ,,,,,
582,2.2/U23,,,,5.0,,"Vuelta al Sur de Bolivia (Sucre, Potosi) 2013 ",,,,,
583,2.HC,,,,7.0,,USA Pro Challenge 2013 ,,,,,
584,2.2/U23,,,,5.0,,Tour do Rio 2013 ,,,,,
585,2.1,,,,6.0,,Tour of Alberta 2013 ,,,,,
586,1.2,,,,1.0,,Bucks County Classic 2013 ,,,,,
587,1.2,,,,1.0,,Tobago Cycling Classic 2013 ,,,,,
588,2.2/U23,,,,12.0,,Vuelta a Bolivia 2013 ,,,,,
589,UCI.NC.3.TT,,,,1.0,,National Championships Paraguay - ITT 2013 ,,,,,
590,2.2/U23,,,,12.0,,Vuelta Kolbi a Costa Rica 2013 ,,,,,
