,Stage_Name,Date,Stage_Type,Start,Finish,Race_ID,Stage#,url,Length
0,Milano-Sanremo 2009,2009-03-21,RR,Milano,Sanremo,0,0,race/milano-sanremo/2009,298.0
1,Amstel Gold Race 2009,2009-04-19,RR,Maastricht,Valkenburg,1,0,race/amstel-gold-race/2009,258.6
2,La Flèche Wallonne 2009,2009-04-22,RR,Charleroi,Huy,2,0,race/la-fleche-wallone/2009,195.5
3,Tour de Romandie 2009  Prologue,2009-04-28,Prologue,Lausanne,Lausanne,3,1,race/tour-de-romandie/2009/prologue,3.1
4,Tour de Romandie 2009  Stage 2,2009-04-29,RR,Montreux,Fribourg,3,2,race/tour-de-romandie/2009/stage-2,176.2
5,Tour de Romandie 2009  Stage 3,2009-04-30,RR,La Chaux-de-Fonds,La Chaux-de-Fonds,3,3,race/tour-de-romandie/2009/stage-3,161.5
6,Tour de Romandie 2009  Stage 4 (TTT),2009-05-01,TTT,Yverdon-les-Bains,Yverdon-les-Bains,3,4,race/tour-de-romandie/2009/stage-4,14.8
7,Tour de Romandie 2009  Stage 5,2009-05-02,RR,Estavayer-le-lac,Sainte-Croix,3,5,race/tour-de-romandie/2009/stage-5,157.5
8,Tour de Romandie 2009  Stage 6,2009-05-03,RR,Aubonne,Genève,3,6,race/tour-de-romandie/2009/stage-6,150.5
9,Critérium Du Dauphiné Libéré 2009  Stage 1 (ITT),2009-06-07,ITT,Nancy,Nancy,4,1,race/dauphine/2009/stage-1,12.1
10,Critérium Du Dauphiné Libéré 2009  Stage 2,2009-06-08,RR,Nancy,Dijon,4,2,race/dauphine/2009/stage-2,228.0
11,Critérium Du Dauphiné Libéré 2009  Stage 3,2009-06-09,RR,Tournus,Saint-Étienne,4,3,race/dauphine/2009/stage-3,182.0
12,Critérium Du Dauphiné Libéré 2009  Stage 4 (ITT),2009-06-10,ITT,Bourg-les-Valence,Valence,4,4,race/dauphine/2009/stage-4,42.4
13,Critérium Du Dauphiné Libéré 2009  Stage 5,2009-06-11,RR,Valence,Mont Ventoux,4,5,race/dauphine/2009/stage-5,154.0
14,Critérium Du Dauphiné Libéré 2009  Stage 6,2009-06-12,RR,Gap,Briançon,4,6,race/dauphine/2009/stage-6,106.0
15,Critérium Du Dauphiné Libéré 2009  Stage 7,2009-06-13,RR,Briançon,Saint-François-Longchamp,4,7,race/dauphine/2009/stage-7,157.0
16,Critérium Du Dauphiné Libéré 2009  Stage 8,2009-06-14,RR,Faverges,Grenoble,4,8,race/dauphine/2009/stage-8,146.0
17,Tour de Suisse 2009  Prologue,2009-06-13,Prologue,Mauren (LI),Ruggell (LI),5,1,race/tour-de-suisse/2009/prologue,7.8
18,Tour de Suisse 2009  Stage 2,2009-06-14,RR,Davos,Davos,5,2,race/tour-de-suisse/2009/stage-2,150.0
19,Tour de Suisse 2009  Stage 3,2009-06-15,RR,Davos,Lumino,5,3,race/tour-de-suisse/2009/stage-3,195.0
20,Tour de Suisse 2009  Stage 4,2009-06-16,RR,Biasca,Stäfa,5,4,race/tour-de-suisse/2009/stage-4,197.0
21,Tour de Suisse 2009  Stage 5,2009-06-17,RR,Stäfa,Serfaus (A),5,5,race/tour-de-suisse/2009/stage-5,202.0
