,Stage_Name,Date,Stage_Type,Start,Finish,Race_ID,Stage#,url,Length
0,Santos Tour Down Under 2017  Stage 1,2017-01-17,RR,Unley,Lyndoch,0,1,race/tour-down-under/2017/stage-1,118.5
1,Santos Tour Down Under 2017  Stage 2,2017-01-18,RR,Stirling,Paracombe,0,2,race/tour-down-under/2017/stage-2,148.5
2,Santos Tour Down Under 2017  Stage 3,2017-01-19,RR,Glenelg,Victor Harbor,0,3,race/tour-down-under/2017/stage-3,144.0
3,Santos Tour Down Under 2017  Stage 4,2017-01-20,RR,Norwood,Campbelltown,0,4,race/tour-down-under/2017/stage-4,149.5
4,Santos Tour Down Under 2017  Stage 5,2017-01-21,RR,McLaren Vale,Willunga Hill,0,5,race/tour-down-under/2017/stage-5,151.5
5,Santos Tour Down Under 2017  Stage 6,2017-01-22,RR,Adelaide,Adelaide,0,6,race/tour-down-under/2017/stage-6,90.0
6,Cadel Evans Great Ocean Road Race 2017,2017-01-29,RR,Geelong,Geelong,1,0,race/great-ocean-race/2017,173.9
7,Abu Dhabi Tour 2017  Stage 1,2017-02-23,RR,Baynounah Educational Complex,Madinat Zayed,2,1,race/uae-tour/2017/stage-1,189.0
8,Abu Dhabi Tour 2017  Stage 2,2017-02-24,RR, Al Maryah Island,Big Flag,2,2,race/uae-tour/2017/stage-2,153.0
9,Abu Dhabi Tour 2017  Stage 3,2017-02-25,RR,Hazza Bin Zayed Stadium,Jebel Hafeet,2,3,race/uae-tour/2017/stage-3,186.0
10,Abu Dhabi Tour 2017  Stage 4,2017-02-26,RR,Yas Marina,Yas Marina,2,4,race/uae-tour/2017/stage-4,143.0
11,Omloop Het Nieuwsblad 2017,2017-02-25,RR,Gent,Gent,3,0,race/omloop-het-nieuwsblad/2017,198.3
12,Strade Bianche 2017,2017-03-04,RR,Siena,Siena,4,0,race/strade-bianchi/2017,175.0
13,Paris - Nice 2017  Stage 1,2017-03-05,RR,Bois-d'Arcy,Bois-d'Arcy,5,1,race/paris-nice/2017/stage-1,148.5
14,Paris - Nice 2017  Stage 2,2017-03-06,RR,Rochefort-en-Yvelines,Amilly,5,2,race/paris-nice/2017/stage-2,195.0
15,Paris - Nice 2017  Stage 3,2017-03-07,RR,Chablis,Chalon-sur-Saône,5,3,race/paris-nice/2017/stage-3,190.0
16,Paris - Nice 2017  Stage 4 (ITT),2017-03-08,ITT,Beaujeu,Mont Brouilly,5,4,race/paris-nice/2017/stage-4,14.5
17,Paris - Nice 2017  Stage 5,2017-03-09,RR,Quincié-en-Beaujolais,Bourg-de-Péage,5,5,race/paris-nice/2017/stage-5,199.5
18,Paris - Nice 2017  Stage 6,2017-03-10,RR,Aubagne,Fayence,5,6,race/paris-nice/2017/stage-6,193.5
19,Paris - Nice 2017  Stage 7,2017-03-11,RR,Nice,Col de la Couillole,5,7,race/paris-nice/2017/stage-7,177.0
20,Paris - Nice 2017  Stage 8,2017-03-12,RR,Nice,Nice,5,8,race/paris-nice/2017/stage-8,115.5
21,Tirreno-Adriatico 2017  Stage 1 (TTT),2017-03-08,TTT,Lido di Camaiore,Lido di Camaiore,6,1,race/tirreno-adriatico/2017/stage-1,22.7
