,Stage_Name,Date,Stage_Type,Start,Finish,Race_ID,Stage#,url,Length
0,Santos Tour Down Under 2018  Stage 1,2018-01-16,RR,Port Adelaide,Lyndoch,0,1,race/tour-down-under/2018/stage-1,145.0
1,Santos Tour Down Under 2018  Stage 2,2018-01-17,RR,Unley,Stirling,0,2,race/tour-down-under/2018/stage-2,148.6
2,Santos Tour Down Under 2018  Stage 3,2018-01-18,RR,Glenelg,Victor Harbor,0,3,race/tour-down-under/2018/stage-3,120.5
3,Santos Tour Down Under 2018  Stage 4,2018-01-19,RR,Norwood,Uraidla,0,4,race/tour-down-under/2018/stage-4,128.2
4,Santos Tour Down Under 2018  Stage 5,2018-01-20,RR,McLaren Vale,Willunga Hill,0,5,race/tour-down-under/2018/stage-5,151.5
5,Santos Tour Down Under 2018  Stage 6,2018-01-21,RR,Adelaide,Adelaide,0,6,race/tour-down-under/2018/stage-6,90.0
6,Cadel Evans Great Ocean Road Race 2018,2018-01-28,RR,Geelong,Geelong,1,0,race/great-ocean-race/2018,164.0
7,Abu Dhabi Tour 2018  Stage 1,2018-02-21,RR,Madinat Zaya,Adnoc School,2,1,race/uae-tour/2018/stage-1,189.0
8,Abu Dhabi Tour 2018  Stage 2,2018-02-22,RR,Yas Mall,Yas Beach,2,2,race/uae-tour/2018/stage-2,154.0
9,Abu Dhabi Tour 2018  Stage 3,2018-02-23,RR,Nation Towers,Big Flag,2,3,race/uae-tour/2018/stage-3,133.0
10,Abu Dhabi Tour 2018  Stage 4 (ITT),2018-02-24,ITT,Al Maryah Island,Al Maryah Island,2,4,race/uae-tour/2018/stage-4,12.6
11,Abu Dhabi Tour 2018  Stage 5,2018-02-25,RR,Qasr Al Muwaiji,Jebel Hafeet,2,5,race/uae-tour/2018/stage-5,199.0
12,Omloop Het Nieuwsblad Elite 2018,2018-02-24,RR,Gent,Meerbeke,3,0,race/omloop-het-nieuwsblad/2018,196.2
13,Strade Bianche 2018,2018-03-03,RR,Siena,Siena,4,0,race/strade-bianchi/2018,184.0
14,Paris - Nice 2018  Stage 1,2018-03-04,RR,Chatou,Meudon,5,1,race/paris-nice/2018/stage-1,135.0
15,Paris - Nice 2018  Stage 2,2018-03-05,RR,Orsonville,Vierzon,5,2,race/paris-nice/2018/stage-2,187.0
16,Paris - Nice 2018  Stage 3,2018-03-06,RR,Bourges,Châtel-Guyon,5,3,race/paris-nice/2018/stage-3,210.0
17,Paris - Nice 2018  Stage 4 (ITT),2018-03-07,ITT,La Fouillouse,Saint-Étienne,5,4,race/paris-nice/2018/stage-4,18.4
18,Paris - Nice 2018  Stage 5,2018-03-08,RR,Salon-de-Provence,Sisteron,5,5,race/paris-nice/2018/stage-5,163.5
19,Paris - Nice 2018  Stage 6,2018-03-09,RR,Sisteron,Vence,5,6,race/paris-nice/2018/stage-6,198.0
20,Paris - Nice 2018  Stage 7,2018-03-10,RR,Nice,Valdeblore La Colmiane,5,7,race/paris-nice/2018/stage-7,175.0
21,Paris - Nice 2018  Stage 8,2018-03-11,RR,Nice,Nice,5,8,race/paris-nice/2018/stage-8,110.0
22,Tirreno-Adriatico 2018  Stage 1 (TTT),2018-03-07,TTT,Lido di Camaiore,Lido di Camaiore,6,1,race/tirreno-adriatico/2018/stage-1,21.5
23,Tirreno-Adriatico 2018  Stage 2,2018-03-08,RR,Camaiore,Follonica,6,2,race/tirreno-adriatico/2018/stage-2,167.0
24,Tirreno-Adriatico 2018  Stage 3,2018-03-09,RR,Follonica,Trevi,6,3,race/tirreno-adriatico/2018/stage-3,234.0
25,Tirreno-Adriatico 2018  Stage 4,2018-03-10,RR,Foligno,Sarnano Sassotetto,6,4,race/tirreno-adriatico/2018/stage-4,219.0
26,Tirreno-Adriatico 2018  Stage 5,2018-03-11,RR,Castelraimondo,Filottrano,6,5,race/tirreno-adriatico/2018/stage-5,178.0
27,Tirreno-Adriatico 2018  Stage 6,2018-03-12,RR,Numana,Fano,6,6,race/tirreno-adriatico/2018/stage-6,153.0
28,Tirreno-Adriatico 2018  Stage 7 (ITT),2018-03-13,ITT,San Benedetto del Tronto,San Benedetto del Tronto,6,7,race/tirreno-adriatico/2018/stage-7,10.05
29,Milano-Sanremo 2018,2018-03-17,RR,Milano,Sanremo,7,0,race/milano-sanremo/2018,294.0
30,Volta Ciclista a Catalunya 2018  Stage 1,2018-03-19,RR,Calella,Calella,8,1,race/volta-a-catalunya/2018/stage-1,152.3
31,Volta Ciclista a Catalunya 2018  Stage 2,2018-03-20,RR,Mataró,Valls,8,2,race/volta-a-catalunya/2018/stage-2,175.6
32,Volta Ciclista a Catalunya 2018  Stage 3,2018-03-21,RR,Sant Cugat,Camprodón,8,3,race/volta-a-catalunya/2018/stage-3,153.2
33,Volta Ciclista a Catalunya 2018  Stage 4,2018-03-22,RR,Llanars,La Molina,8,4,race/volta-a-catalunya/2018/stage-4,170.8
34,Volta Ciclista a Catalunya 2018  Stage 5,2018-03-23,RR,Llívia,Vielha Val d'Aran,8,5,race/volta-a-catalunya/2018/stage-5,212.9
35,Volta Ciclista a Catalunya 2018  Stage 6,2018-03-24,RR,Pobla de Segur,Torrefarrera,8,6,race/volta-a-catalunya/2018/stage-6,117.0
36,Volta Ciclista a Catalunya 2018  Stage 7,2018-03-25,RR,Barcelona,Barcelona,8,7,race/volta-a-catalunya/2018/stage-7,154.8
37,Record Bank E3 Harelbeke 2018,2018-03-23,RR,Harelbeke,Harelbeke,9,0,race/e3-harelbeke/2018,206.5
38,Gent-Wevelgem in Flanders Fields 2018,2018-03-25,RR,Deinze,Wevelgem,10,0,race/gent-wevelgem/2018,251.1
39,Dwars door Vlaanderen - A travers la Flandre 2018,2018-03-28,RR,Roeselare,Waregem,11,0,race/dwars-door-vlaanderen/2018,180.0
40,Ronde van Vlaanderen - Tour des Flandres 2018,2018-04-01,RR,Antwerpen,Oudenaarde,12,0,race/ronde-van-vlaanderen/2018,264.7
41,Itzulia Basque Country 2018  Stage 1,2018-04-02,RR,Zarautz,Zarautz,13,1,race/itzulia-basque-country/2018/stage-1,162.1
42,Itzulia Basque Country 2018  Stage 2,2018-04-03,RR,Zarautz,Bermeo,13,2,race/itzulia-basque-country/2018/stage-2,166.7
43,Itzulia Basque Country 2018  Stage 3,2018-04-04,RR,Bermeo,Valdegovía,13,3,race/itzulia-basque-country/2018/stage-3,184.8
44,Itzulia Basque Country 2018  Stage 4 (ITT),2018-04-05,ITT,Lodosa,Lodosa,13,4,race/itzulia-basque-country/2018/stage-4,19.4
45,Itzulia Basque Country 2018  Stage 5,2018-04-06,RR,Vitoria,Eibar,13,5,race/itzulia-basque-country/2018/stage-5,164.7
46,Itzulia Basque Country 2018  Stage 6,2018-04-07,RR,Eibar,Arrate,13,6,race/itzulia-basque-country/2018/stage-6,122.2
47,Paris-Roubaix 2018,2018-04-08,RR,Compiègne,Roubaix,14,0,race/paris-roubaix/2018,257.0
48,Amstel Gold Race 2018,2018-04-15,RR,Maastricht,Berg en Terblijt,15,0,race/amstel-gold-race/2018,263.0
49,La Flèche Wallonne 2018,2018-04-18,RR,Seraing,Huy,16,0,race/la-fleche-wallone/2018,198.5
50,Liège - Bastogne - Liège 2018,2018-04-22,RR,Liège,Ans,17,0,race/liege-bastogne-liege/2018,258.5
51,Tour de Romandie 2018  Prologue,2018-04-24,Prologue,Fribourg,Fribourg,18,1,race/tour-de-romandie/2018/prologue,4.02
52,Tour de Romandie 2018  Stage 1,2018-04-25,RR,Fribourg,Delémont,18,2,race/tour-de-romandie/2018/stage-1,166.6
53,Tour de Romandie 2018  Stage 2,2018-04-26,RR,Delémont,Yverdon-les-Bains,18,3,race/tour-de-romandie/2018/stage-2,173.9
54,Tour de Romandie 2018  Stage 3 (ITT),2018-04-27,ITT,Ollon,Villars,18,4,race/tour-de-romandie/2018/stage-3,9.9
55,Tour de Romandie 2018  Stage 4,2018-04-28,RR,Sion,Sion,18,5,race/tour-de-romandie/2018/stage-4,149.2
56,Tour de Romandie 2018  Stage 5,2018-04-29,RR,Mont-sur-Rolle,Genève,18,6,race/tour-de-romandie/2018/stage-5,181.8
57,Eschborn-Frankfurt 2018,2018-05-01,RR,Eschborn,Frankfurt am Main,19,0,race/Eschborn-Frankfurt/2018,212.5
58,Giro d'Italia 2018  Stage 1 (ITT),2018-05-04,ITT,Jerusalem,Jerusalem,20,1,race/giro-d-italia/2018/stage-1,9.7
59,Giro d'Italia 2018  Stage 2,2018-05-05,RR,Haifa,Tel Aviv,20,2,race/giro-d-italia/2018/stage-2,167.0
60,Giro d'Italia 2018  Stage 3,2018-05-06,RR,Be'er Sheva,Eilat,20,3,race/giro-d-italia/2018/stage-3,229.0
61,Giro d'Italia 2018  Stage 4,2018-05-08,RR,Catania,Caltagirone,20,4,race/giro-d-italia/2018/stage-4,202.0
62,Giro d'Italia 2018  Stage 5,2018-05-09,RR,Agrigento,Santa Ninfa (Valle del Belice),20,5,race/giro-d-italia/2018/stage-5,153.0
63,Giro d'Italia 2018  Stage 6,2018-05-10,RR,Caltanissetta,Etna,20,6,race/giro-d-italia/2018/stage-6,164.0
64,Giro d'Italia 2018  Stage 7,2018-05-11,RR,Pizzo,Praia a Mare,20,7,race/giro-d-italia/2018/stage-7,159.0
65,Giro d'Italia 2018  Stage 8,2018-05-12,RR,Praia a Mare,Montevergine di Mercogliano,20,8,race/giro-d-italia/2018/stage-8,209.0
66,Giro d'Italia 2018  Stage 9,2018-05-13,RR,Pesco Sannita,Gran Sasso d'Italia,20,9,race/giro-d-italia/2018/stage-9,225.0
67,Giro d'Italia 2018  Stage 10,2018-05-15,RR,Penne,Gualdo Tadino,20,10,race/giro-d-italia/2018/stage-10,244.0
68,Giro d'Italia 2018  Stage 11,2018-05-16,RR,Assisi,Osimo,20,11,race/giro-d-italia/2018/stage-11,156.0
69,Giro d'Italia 2018  Stage 12,2018-05-17,RR,Osimo,Imola,20,12,race/giro-d-italia/2018/stage-12,214.0
70,Giro d'Italia 2018  Stage 13,2018-05-18,RR,Ferrara,Nervesa della Battaglia,20,13,race/giro-d-italia/2018/stage-13,180.0
71,Giro d'Italia 2018  Stage 14,2018-05-19,RR,San Vito al Tagliamento,Monte Zoncolan,20,14,race/giro-d-italia/2018/stage-14,186.0
72,Giro d'Italia 2018  Stage 15,2018-05-20,RR,Tolmezzo,Sappada,20,15,race/giro-d-italia/2018/stage-15,176.0
73,Giro d'Italia 2018  Stage 16 (ITT),2018-05-22,ITT,Trento,Rovereto ,20,16,race/giro-d-italia/2018/stage-16,34.2
74,Giro d'Italia 2018  Stage 17,2018-05-23,RR,Riva del Garda,Iseo,20,17,race/giro-d-italia/2018/stage-17,155.0
75,Giro d'Italia 2018  Stage 18,2018-05-24,RR,Abbiategrasso,Prato Nevoso,20,18,race/giro-d-italia/2018/stage-18,196.0
76,Giro d'Italia 2018  Stage 19,2018-05-25,RR,Venaria Reale,Bardonecchia,20,19,race/giro-d-italia/2018/stage-19,184.0
77,Giro d'Italia 2018  Stage 20,2018-05-26,RR,Susa,Cervinia,20,20,race/giro-d-italia/2018/stage-20,214.0
78,Giro d'Italia 2018  Stage 21,2018-05-27,RR,Roma,Roma,20,21,race/giro-d-italia/2018/stage-21,115.0
79,Amgen Tour of California 2018  Stage 1,2018-05-13,RR,Long Beach, Long Beach ,21,1,race/tour-of-california/2018/stage-1,134.5
80,Amgen Tour of California 2018  Stage 2,2018-05-14,RR,Ventura,Gilbratar Road,21,2,race/tour-of-california/2018/stage-2,157.0
81,Amgen Tour of California 2018  Stage 3,2018-05-15,RR,King City,Laguna Seca Recreation Area (Monterey County),21,3,race/tour-of-california/2018/stage-3,197.0
82,Amgen Tour of California 2018  Stage 4 (ITT),2018-05-16,ITT,San José,Morgan Hill,21,4,race/tour-of-california/2018/stage-4,34.7
83,Amgen Tour of California 2018  Stage 5,2018-05-17,RR,Stockton,Elk Grove,21,5,race/tour-of-california/2018/stage-5,176.5
84,Amgen Tour of California 2018  Stage 6,2018-05-18,RR,Folsom,South Lake Tahoe,21,6,race/tour-of-california/2018/stage-6,196.5
85,Amgen Tour of California 2018  Stage 7,2018-05-19,RR,Sacramento,Sacramento,21,7,race/tour-of-california/2018/stage-7,143.0
86,Critérium du Dauphiné 2018  Prologue,2018-06-03,Prologue,Valence,Valence,22,1,race/dauphine/2018/prologue,6.6
87,Critérium du Dauphiné 2018  Stage 1,2018-06-04,RR,Valence,Saint-Just-Saint-Rambert ,22,2,race/dauphine/2018/stage-1,179.0
88,Critérium du Dauphiné 2018  Stage 2,2018-06-05,RR,Montbrison,Belleville en Beaujolais,22,3,race/dauphine/2018/stage-2,181.0
89,Critérium du Dauphiné 2018  Stage 3 (TTT),2018-06-06,TTT,Pont-de-Vaux,Louhans-Châteaurenaud,22,4,race/dauphine/2018/stage-3,35.0
90,Critérium du Dauphiné 2018  Stage 4,2018-06-07,RR,Chazey-sur-Ain,Lans-en-Vercors ,22,5,race/dauphine/2018/stage-4,181.0
91,Critérium du Dauphiné 2018  Stage 5,2018-06-08,RR,Grenoble,Valmorel,22,6,race/dauphine/2018/stage-5,130.0
92,Critérium du Dauphiné 2018  Stage 6,2018-06-09,RR,Frontenex,La Rosière Espace San Bernardo ,22,7,race/dauphine/2018/stage-6,110.0
93,Critérium du Dauphiné 2018  Stage 7,2018-06-10,RR,Moûtiers,Saint-Gervais Mont Blanc,22,8,race/dauphine/2018/stage-7,136.0
94,Tour de Suisse 2018  Stage 1 (TTT),2018-06-09,TTT,Frauenfeld,Frauenfeld,23,1,race/tour-de-suisse/2018/stage-1,18.0
95,Tour de Suisse 2018  Stage 2,2018-06-10,RR,Frauenfeld,Frauenfeld,23,2,race/tour-de-suisse/2018/stage-2,155.0
96,Tour de Suisse 2018  Stage 3,2018-06-11,RR,Oberstammheim,Gansingen,23,3,race/tour-de-suisse/2018/stage-3,182.0
97,Tour de Suisse 2018  Stage 4,2018-06-12,RR,Gansingen,Gstaad,23,4,race/tour-de-suisse/2018/stage-4,189.0
98,Tour de Suisse 2018  Stage 5,2018-06-13,RR,Gstaad,Leukerbad,23,5,race/tour-de-suisse/2018/stage-5,155.0
99,Tour de Suisse 2018  Stage 6,2018-06-14,RR,Fiesch,Gommiswald,23,6,race/tour-de-suisse/2018/stage-6,186.0
100,Tour de Suisse 2018  Stage 7,2018-06-15,RR,Eschenbach/Atzmännig,Arosa,23,7,race/tour-de-suisse/2018/stage-7,170.0
101,Tour de Suisse 2018  Stage 8,2018-06-16,RR,Bellinzona,Bellinzona,23,8,race/tour-de-suisse/2018/stage-8,123.0
102,Tour de Suisse 2018  Stage 9 (ITT),2018-06-17,ITT,Bellinzona,Bellinzona,23,9,race/tour-de-suisse/2018/stage-9,34.0
103,Tour de France 2018  Stage 1,2018-07-07,RR,Noirmoutier-en-l'Île, Fontenay-le-Comte,24,1,race/tour-de-france/2018/stage-1,201.0
104,Tour de France 2018  Stage 2,2018-07-08,RR,Mouilleron-Saint-Germain,La Roche-sur-Yon,24,2,race/tour-de-france/2018/stage-2,182.5
105,Tour de France 2018  Stage 3 (TTT),2018-07-09,TTT,Cholet,Cholet,24,3,race/tour-de-france/2018/stage-3,35.5
106,Tour de France 2018  Stage 4,2018-07-10,RR,La Baule,Sarzeau,24,4,race/tour-de-france/2018/stage-4,195.0
107,Tour de France 2018  Stage 5,2018-07-11,RR,Lorient,Quimper,24,5,race/tour-de-france/2018/stage-5,204.5
108,Tour de France 2018  Stage 6,2018-07-12,RR,Brest,Mûr de Bretagne Guerlédan,24,6,race/tour-de-france/2018/stage-6,181.0
109,Tour de France 2018  Stage 7,2018-07-13,RR,Fougères,Chartres,24,7,race/tour-de-france/2018/stage-7,231.0
110,Tour de France 2018  Stage 8,2018-07-14,RR,Dreux,Amiens Métropole,24,8,race/tour-de-france/2018/stage-8,181.0
111,Tour de France 2018  Stage 9,2018-07-15,RR,Arras Citadelle,Roubaix,24,9,race/tour-de-france/2018/stage-9,156.5
112,Tour de France 2018  Stage 10,2018-07-17,RR,Annecy,Le Grand-Bornand,24,10,race/tour-de-france/2018/stage-10,158.5
113,Tour de France 2018  Stage 11,2018-07-18,RR,Albertville,La Rosière Espace San Bernardo,24,11,race/tour-de-france/2018/stage-11,108.5
114,Tour de France 2018  Stage 12,2018-07-19,RR,Bourg-Saint-Maurice Les Arcs,Alpe d'Huez,24,12,race/tour-de-france/2018/stage-12,175.5
115,Tour de France 2018  Stage 13,2018-07-20,RR,Bourg d'Oisans,Valence,24,13,race/tour-de-france/2018/stage-13,169.5
116,Tour de France 2018  Stage 14,2018-07-21,RR,Saint-Paul-Trois-Châteaux,Mende,24,14,race/tour-de-france/2018/stage-14,188.0
117,Tour de France 2018  Stage 15,2018-07-22,RR,Millau,Carcassonne,24,15,race/tour-de-france/2018/stage-15,181.0
118,Tour de France 2018  Stage 16,2018-07-24,RR,Carcassonne,Bagnères-de-Luchon,24,16,race/tour-de-france/2018/stage-16,218.0
119,Tour de France 2018  Stage 17,2018-07-25,RR,Bagnères-de-Luchon,Saint-Lary-Soulan,24,17,race/tour-de-france/2018/stage-17,65.0
120,Tour de France 2018  Stage 18,2018-07-26,RR,Trie-sur-Baïse,Pau,24,18,race/tour-de-france/2018/stage-18,171.0
121,Tour de France 2018  Stage 19,2018-07-27,RR,Lourdes, Laruns,24,19,race/tour-de-france/2018/stage-19,200.5
122,Tour de France 2018  Stage 20 (ITT),2018-07-28,ITT,Saint-Pée-sur-Nivelle,Espelette,24,20,race/tour-de-france/2018/stage-20,31.0
123,Tour de France 2018  Stage 21,2018-07-29,RR,Houilles,Paris Champs-Élysées,24,21,race/tour-de-france/2018/stage-21,116.0
124,Prudential RideLondon-Surrey Classic 2018,2018-07-29,RR,London,London,25,0,race/ride-london-classic/2018,187.0
125,Clasica Ciclista San Sebastian 2018,2018-08-04,RR,San Sebastian,San Sebastian,26,0,race/san-sebastian/2018,228.7
126,Tour de Pologne 2018  Stage 1,2018-08-04,RR,Krakow,Krakow,27,1,race/tour-de-pologne/2018/stage-1,134.0
127,Tour de Pologne 2018  Stage 2,2018-08-05,RR,Tarnowskie Gory,Katowice,27,2,race/tour-de-pologne/2018/stage-2,144.4
128,Tour de Pologne 2018  Stage 3,2018-08-06,RR,Stadion Slaski,Zabrze,27,3,race/tour-de-pologne/2018/stage-3,139.0
129,Tour de Pologne 2018  Stage 4,2018-08-07,RR,Jaworzno,Szczyrk,27,4,race/tour-de-pologne/2018/stage-4,179.0
130,Tour de Pologne 2018  Stage 5,2018-08-08,RR,Wieliczka,Bielsko-Biala,27,5,race/tour-de-pologne/2018/stage-5,152.0
131,Tour de Pologne 2018  Stage 6,2018-08-09,RR,Zakopane,Bukowina Tatrzańska,27,6,race/tour-de-pologne/2018/stage-6,129.0
132,Tour de Pologne 2018  Stage 7,2018-08-10,RR,Bukowina Tatrzańska,Bukowina Tatrzańska,27,7,race/tour-de-pologne/2018/stage-7,136.0
133,Binck Bank Tour 2018  Stage 1,2018-08-13,RR,Heerenveen,Bolsward ,28,1,race/binckbank-tour/2018/stage-1,177.3
134,Binck Bank Tour 2018  Stage 2 (ITT),2018-08-14,ITT,Venray,Venray,28,2,race/binckbank-tour/2018/stage-2,12.7
135,Binck Bank Tour 2018  Stage 3,2018-08-15,RR,Aalter,Antwerpen,28,3,race/binckbank-tour/2018/stage-3,174.9
136,Binck Bank Tour 2018  Stage 4,2018-08-16,RR,Blankenberge,Ardooie,28,4,race/binckbank-tour/2018/stage-4,165.5
137,Binck Bank Tour 2018  Stage 5,2018-08-17,RR,Sint-Pieters-Leeuw,Lanaken,28,5,race/binckbank-tour/2018/stage-5,204.4
138,Binck Bank Tour 2018  Stage 6,2018-08-18,RR,Riemst,Sittard-Geleen,28,6,race/binckbank-tour/2018/stage-6,182.2
139,Binck Bank Tour 2018  Stage 7,2018-08-19,RR,Lacs de l'Eau d'Heure,Geraardsbergen,28,7,race/binckbank-tour/2018/stage-7,215.6
140,EuroEyes Cyclassics Hamburg 2018,2018-08-19,RR,Hamburg,Hamburg,29,0,race/cyclassics-hamburg/2018,216.4
141,La Vuelta ciclista a España 2018  Stage 1 (ITT),2018-08-25,ITT,Málaga,Málaga,30,1,race/vuelta-a-espana/2018/stage-1,8.0
142,La Vuelta ciclista a España 2018  Stage 2,2018-08-26,RR,Marbella,Caminito del Rey,30,2,race/vuelta-a-espana/2018/stage-2,163.5
143,La Vuelta ciclista a España 2018  Stage 3,2018-08-27,RR,Mijas,Alhaurín de la Torre,30,3,race/vuelta-a-espana/2018/stage-3,178.2
144,La Vuelta ciclista a España 2018  Stage 4,2018-08-28,RR,Vélez-Málaga,Alfacar. Sierra de la Alfaguara,30,4,race/vuelta-a-espana/2018/stage-4,161.4
145,La Vuelta ciclista a España 2018  Stage 5,2018-08-29,RR,Granada, Roquetas de Mar,30,5,race/vuelta-a-espana/2018/stage-5,188.7
146,La Vuelta ciclista a España 2018  Stage 6,2018-08-30,RR,Huércal-Overa,San Javier. Mar Menor,30,6,race/vuelta-a-espana/2018/stage-6,155.7
147,La Vuelta ciclista a España 2018  Stage 7,2018-08-31,RR,Puerto Lumbreras,Pozo Alcón,30,7,race/vuelta-a-espana/2018/stage-7,185.7
148,La Vuelta ciclista a España 2018  Stage 8,2018-09-01,RR,Linares,Almadén,30,8,race/vuelta-a-espana/2018/stage-8,195.1
149,La Vuelta ciclista a España 2018  Stage 9,2018-09-02,RR,Talavera de la Reina,La Covatilla,30,9,race/vuelta-a-espana/2018/stage-9,200.8
150,La Vuelta ciclista a España 2018  Stage 10,2018-09-04,RR,Salamanca. VIII Centenario Universidad de Salamanc,Fermoselle. Bermillo de Sayago ,30,10,race/vuelta-a-espana/2018/stage-10,177.0
151,La Vuelta ciclista a España 2018  Stage 11,2018-09-05,RR,Mombuey,Ribeira Sacra. Luintra,30,11,race/vuelta-a-espana/2018/stage-11,207.8
152,La Vuelta ciclista a España 2018  Stage 12,2018-09-06,RR,Mondoñedo,Faro de Estaca de Bares. Mañón,30,12,race/vuelta-a-espana/2018/stage-12,181.1
153,La Vuelta ciclista a España 2018  Stage 13,2018-09-07,RR,Candás. Carreño,Valle de Sabero. La Camperona,30,13,race/vuelta-a-espana/2018/stage-13,174.8
154,La Vuelta ciclista a España 2018  Stage 14,2018-09-08,RR,Cistierna,Les Praeres. Nava,30,14,race/vuelta-a-espana/2018/stage-14,171.0
