,Stage_Name,Date,Stage_Type,Start,Finish,Race_ID,Stage#,url,Length
0,Milano-Sanremo 2008,2008-03-22,RR,Milano,Sanremo,0,0,race/milano-sanremo/2008,298.0
1,Vuelta Ciclista al Pais Vasco 2008  Stage 1,2008-04-07,RR,Start,Finish,1,1,race/itzulia-basque-country/2008/stage-1,137.0
2,Vuelta Ciclista al Pais Vasco 2008  Stage 2,2008-04-08,RR,Start,Finish,1,2,race/itzulia-basque-country/2008/stage-2,153.0
3,Vuelta Ciclista al Pais Vasco 2008  Stage 3,2008-04-09,RR,Start,Finish,1,3,race/itzulia-basque-country/2008/stage-3,195.0
4,Vuelta Ciclista al Pais Vasco 2008  Stage 4,2008-04-10,RR,Start,Finish,1,4,race/itzulia-basque-country/2008/stage-4,162.0
5,Vuelta Ciclista al Pais Vasco 2008  Stage 5,2008-04-11,RR,Start,Finish,1,5,race/itzulia-basque-country/2008/stage-5,162.0
6,Vuelta Ciclista al Pais Vasco 2008  Stage 6 (ITT),2008-04-12,ITT,Start,Finish,1,6,race/itzulia-basque-country/2008/stage-6,20.0
7,Tour de Romandie 2008  Prologue,2008-04-29,Prologue,Start,Finish,2,1,race/tour-de-romandie/2008/prologue,2.0
8,Tour de Romandie 2008  Stage 2,2008-04-30,RR,Start,Finish,2,2,race/tour-de-romandie/2008/stage-2,185.0
9,Tour de Romandie 2008  Stage 3,2008-05-01,RR,Start,Finish,2,3,race/tour-de-romandie/2008/stage-3,0.0
10,Tour de Romandie 2008  Stage 4 (ITT),2008-05-02,ITT,Start,Finish,2,4,race/tour-de-romandie/2008/stage-4,19.0
11,Tour de Romandie 2008  Stage 5,2008-05-03,RR,Start,Finish,2,5,race/tour-de-romandie/2008/stage-5,112.0
12,Tour de Romandie 2008  Stage 6,2008-05-04,RR,Start,Finish,2,6,race/tour-de-romandie/2008/stage-6,159.0
13,Giro d'Italia 2008  Stage 1 (TTT),2008-05-10,TTT,Palermo,Palermo,3,1,race/giro-d-italia/2008/stage-1,23.0
14,Giro d'Italia 2008  Stage 2,2008-05-11,RR,Cefalù,Agrigento,3,2,race/giro-d-italia/2008/stage-2,207.0
15,Giro d'Italia 2008  Stage 3,2008-05-12,RR,Catania,Milazzo,3,3,race/giro-d-italia/2008/stage-3,221.0
16,Giro d'Italia 2008  Stage 4,2008-05-13,RR,Pizzo Calabro,Catanzaro-Lungomare,3,4,race/giro-d-italia/2008/stage-4,183.0
17,Giro d'Italia 2008  Stage 5,2008-05-14,RR,Belvedere Marittimo,Contursi Terme,3,5,race/giro-d-italia/2008/stage-5,203.0
18,Giro d'Italia 2008  Stage 6,2008-05-15,RR,Potenza,Peschici,3,6,race/giro-d-italia/2008/stage-6,232.0
19,Giro d'Italia 2008  Stage 7,2008-05-16,RR,Vasto,Pescocostanzo,3,7,race/giro-d-italia/2008/stage-7,180.0
